Away,Date,Half_time,Home,Score
 Sassuolo,Sa 21 Aug,(0-1),Hellas Verona ,2 - 3
 Genoa,Sa 21 Aug,(2-0),Inter Milan ,4 - 0
 Lazio,Sa 21 Aug,(1-3),Empoli ,1 - 3
 Atalanta,Sa 21 Aug,(0-1),Torino ,1 - 2
 Salernitana,Su 22 Aug,(0-0),Bologna ,3 - 2
 Juventus,Su 22 Aug,(0-2),Udinese ,2 - 2
 Fiorentina,Su 22 Aug,(1-0),AS Roma ,3 - 1
 Venezia,Su 22 Aug,(0-0),Napoli ,2 - 0
 Spezia,Mo 23 Aug,(0-1),Cagliari ,2 - 2
 AC Milan,Mo 23 Aug,(0-1),Sampdoria ,0 - 1
 Venezia,Fr 27 Aug,(1-0),Udinese ,3 - 0
 Inter Milan,Fr 27 Aug,(1-0),Hellas Verona ,1 - 3
 Bologna,Sa 28 Aug,(0-0),Atalanta ,0 - 0
 Spezia,Sa 28 Aug,(3-1),Lazio ,6 - 1
 Torino,Sa 28 Aug,(1-0),Fiorentina ,2 - 1
 Empoli,Sa 28 Aug,(0-1),Juventus ,0 - 1
 Napoli,Su 29 Aug,(0-1),Genoa ,1 - 2
 Sampdoria,Su 29 Aug,(0-0),Sassuolo ,0 - 0
 Cagliari,Su 29 Aug,(4-1),AC Milan ,4 - 1
 AS Roma,Su 29 Aug,(0-0),Salernitana ,0 - 4
 Venezia,Sa 11 Sep,(0-1),Empoli ,1 - 2
 Juventus,Sa 11 Sep,(0-1),Napoli ,2 - 1
 Fiorentina,Sa 11 Sep,(0-1),Atalanta ,1 - 2
 Inter Milan,Su 12 Sep,(1-2),Sampdoria ,2 - 2
 Genoa,Su 12 Sep,(1-0),Cagliari ,2 - 3
 Udinese,Su 12 Sep,(0-0),Spezia ,0 - 1
 Salernitana,Su 12 Sep,(1-0),Torino ,4 - 0
 Lazio,Su 12 Sep,(1-0),AC Milan ,2 - 0
 Sassuolo,Su 12 Sep,(1-0),AS Roma ,2 - 1
 Hellas Verona,Mo 13 Sep,(0-0),Bologna ,1 - 0
 Torino,Fr 17 Sep,(0-0),Sassuolo ,0 - 1
 Fiorentina,Sa 18 Sep,(0-0),Genoa ,1 - 2
 Bologna,Sa 18 Sep,(3-0),Inter Milan ,6 - 1
 Atalanta,Sa 18 Sep,(0-0),Salernitana ,0 - 1
 Sampdoria,Su 19 Sep,(0-1),Empoli ,0 - 3
 Spezia,Su 19 Sep,(0-1),Venezia ,1 - 2
 AS Roma,Su 19 Sep,(0-1),Hellas Verona ,3 - 2
 Cagliari,Su 19 Sep,(1-0),Lazio ,2 - 2
 AC Milan,Su 19 Sep,(1-0),Juventus ,1 - 1
 Napoli,Mo 20 Sep,(0-2),Udinese ,0 - 4
 Genoa,Tu 21 Sep,(0-0),Bologna ,2 - 2
 Sassuolo,Tu 21 Sep,(2-1),Atalanta ,2 - 1
 Inter Milan,Tu 21 Sep,(1-0),Fiorentina ,1 - 3
 Hellas Verona,We 22 Sep,(1-2),Salernitana ,2 - 2
 Juventus,We 22 Sep,(1-1),Spezia ,2 - 3
 Venezia,We 22 Sep,(0-0),AC Milan ,2 - 0
 Empoli,We 22 Sep,(0-1),Cagliari ,0 - 2
 Napoli,Th 23 Sep,(0-2),Sampdoria ,0 - 4
 Lazio,Th 23 Sep,(0-0),Torino ,1 - 1
 Udinese,Th 23 Sep,(1-0),AS Roma ,1 - 0
 AC Milan,Sa 25 Sep,(0-0),Spezia ,1 - 2
 Atalanta,Sa 25 Sep,(1-2),Inter Milan ,2 - 2
 Hellas Verona,Sa 25 Sep,(0-1),Genoa ,3 - 3
 Sampdoria,Su 26 Sep,(2-1),Juventus ,3 - 2
 Bologna,Su 26 Sep,(2-1),Empoli ,4 - 2
 Salernitana,Su 26 Sep,(0-0),Sassuolo ,1 - 0
 Fiorentina,Su 26 Sep,(0-1),Udinese ,0 - 1
 AS Roma,Su 26 Sep,(2-1),Lazio ,3 - 2
 Cagliari,Su 26 Sep,(1-0),Napoli ,2 - 0
 Torino,Mo 27 Sep,(0-0),Venezia ,1 - 1
 Venezia,Fr 1 Oct,(1-0),Cagliari ,1 - 1
 Genoa,Sa 2 Oct,(0-0),Salernitana ,1 - 0
 Juventus,Sa 2 Oct,(0-0),Torino ,0 - 1
 Inter Milan,Sa 2 Oct,(1-0),Sassuolo ,1 - 2
 Lazio,Su 3 Oct,(2-0),Bologna ,3 - 0
 Spezia,Su 3 Oct,(3-0),Hellas Verona ,4 - 0
 Udinese,Su 3 Oct,(1-2),Sampdoria ,3 - 3
 Empoli,Su 3 Oct,(1-0),AS Roma ,2 - 0
 Napoli,Su 3 Oct,(1-1),Fiorentina ,1 - 2
 AC Milan,Su 3 Oct,(0-2),Atalanta ,2 - 3
 Salernitana,Sa 16 Oct,(0-1),Spezia ,2 - 1
 Inter Milan,Sa 16 Oct,(0-1),Lazio ,3 - 1
 Hellas Verona,Sa 16 Oct,(0-2),AC Milan ,3 - 2
 Sampdoria,Su 17 Oct,(1-0),Cagliari ,3 - 1
 Atalanta,Su 17 Oct,(1-2),Empoli ,1 - 4
 Sassuolo,Su 17 Oct,(1-2),Genoa ,2 - 2
 Bologna,Su 17 Oct,(0-0),Udinese ,1 - 1
 Torino,Su 17 Oct,(0-0),Napoli ,1 - 0
 AS Roma,Su 17 Oct,(1-0),Juventus ,1 - 0
 Fiorentina,Mo 18 Oct,(1-0),Venezia ,1 - 0
 Genoa,Fr 22 Oct,(2-0),Torino ,3 - 2
 Spezia,Fr 22 Oct,(2-0),Sampdoria ,2 - 1
 Empoli,Sa 23 Oct,(0-4),Salernitana ,2 - 4
 Venezia,Sa 23 Oct,(1-1),Sassuolo ,3 - 1
 AC Milan,Sa 23 Oct,(0-2),Bologna ,2 - 4
 Udinese,Su 24 Oct,(0-0),Atalanta ,1 - 1
 Cagliari,Su 24 Oct,(2-0),Fiorentina ,3 - 0
 Lazio,Su 24 Oct,(2-0),Hellas Verona ,4 - 1
 Napoli,Su 24 Oct,(0-0),AS Roma ,0 - 0
 Juventus,Su 24 Oct,(1-0),Inter Milan ,1 - 1
 Genoa,Tu 26 Oct,(0-0),Spezia ,1 - 1
 Salernitana,Tu 26 Oct,(1-0),Venezia ,1 - 2
 Torino,Tu 26 Oct,(1-0),AC Milan ,1 - 0
 Sassuolo,We 27 Oct,(0-1),Juventus ,1 - 2
 Atalanta,We 27 Oct,(1-2),Sampdoria ,1 - 3
 Hellas Verona,We 27 Oct,(1-0),Udinese ,1 - 1
 AS Roma,We 27 Oct,(0-0),Cagliari ,1 - 2
 Inter Milan,We 27 Oct,(0-1),Empoli ,0 - 2
 Fiorentina,We 27 Oct,(0-0),Lazio ,1 - 0
 Bologna,Th 28 Oct,(2-0),Napoli ,3 - 0
 Lazio,Sa 30 Oct,(1-1),Atalanta ,2 - 2
 Juventus,Sa 30 Oct,(2-0),Hellas Verona ,2 - 1
 Sampdoria,Sa 30 Oct,(1-0),Torino ,3 - 0
 Udinese,Su 31 Oct,(0-0),Inter Milan ,2 - 0
 Spezia,Su 31 Oct,(1-0),Fiorentina ,3 - 0
 Venezia,Su 31 Oct,(0-0),Genoa ,0 - 0
 Empoli,Su 31 Oct,(1-0),Sassuolo ,1 - 2
 Napoli,Su 31 Oct,(0-0),Salernitana ,0 - 1
