Away,Date,Half_time,Home,Score
 Juventus,Sa 24 Aug,(0-1),Parma ,0 - 1
 Napoli,Sa 24 Aug,(1-2),Fiorentina ,3 - 4
 AC Milan,Su 25 Aug,(0-0),Udinese ,1 - 0
 Genoa,Su 25 Aug,(2-2),AS Roma ,3 - 3
 Brescia,Su 25 Aug,(0-0),Cagliari ,0 - 1
 Bologna,Su 25 Aug,(1-1),Hellas Verona ,1 - 1
 Lazio,Su 25 Aug,(0-1),Sampdoria ,0 - 3
 Atalanta,Su 25 Aug,(2-1),SPAL ,2 - 3
 Sassuolo,Su 25 Aug,(1-0),Torino ,2 - 1
 Lecce,Mo 26 Aug,(2-0),Inter Milan ,4 - 0
 SPAL,Fr 30 Aug,(0-0),Bologna ,1 - 0
 Brescia,Sa 31 Aug,(1-0),AC Milan ,1 - 0
 Napoli,Sa 31 Aug,(2-0),Juventus ,4 - 3
 AS Roma,Su 1 Sep,(0-1),Lazio ,1 - 1
 Torino,Su 1 Sep,(1-1),Atalanta ,2 - 3
 Inter Milan,Su 1 Sep,(0-1),Cagliari ,1 - 2
 Fiorentina,Su 1 Sep,(1-0),Genoa ,2 - 1
 Hellas Verona,Su 1 Sep,(0-0),Lecce ,0 - 1
 Sampdoria,Su 1 Sep,(3-0),Sassuolo ,4 - 1
 Parma,Su 1 Sep,(1-1),Udinese ,1 - 3
 Juventus,Sa 14 Sep,(0-0),Fiorentina ,0 - 0
 Sampdoria,Sa 14 Sep,(1-0),Napoli ,2 - 0
 Udinese,Sa 14 Sep,(1-0),Inter Milan ,1 - 0
 Atalanta,Su 15 Sep,(0-0),Genoa ,1 - 2
 Bologna,Su 15 Sep,(3-1),Brescia ,3 - 4
 Cagliari,Su 15 Sep,(0-2),Parma ,1 - 3
 Lazio,Su 15 Sep,(0-1),SPAL ,2 - 1
 Sassuolo,Su 15 Sep,(4-0),AS Roma ,4 - 2
 AC Milan,Su 15 Sep,(0-0),Hellas Verona ,0 - 1
 Lecce,Mo 16 Sep,(0-1),Torino ,1 - 2
 Genoa,Fr 20 Sep,(0-0),Cagliari ,3 - 1
 Brescia,Sa 21 Sep,(0-0),Udinese ,0 - 1
 Hellas Verona,Sa 21 Sep,(1-1),Juventus ,2 - 1
 Inter Milan,Sa 21 Sep,(0-0),AC Milan ,0 - 2
 SPAL,Su 22 Sep,(2-0),Sassuolo ,3 - 0
 AS Roma,Su 22 Sep,(0-0),Bologna ,1 - 2
 Napoli,Su 22 Sep,(0-2),Lecce ,1 - 4
 Torino,Su 22 Sep,(0-0),Sampdoria ,1 - 0
 Fiorentina,Su 22 Sep,(0-1),Atalanta ,2 - 2
 Parma,Su 22 Sep,(1-0),Lazio ,2 - 0
 Udinese,Tu 24 Sep,(0-0),Hellas Verona ,0 - 0
 Juventus,Tu 24 Sep,(1-1),Brescia ,1 - 2
 Atalanta,We 25 Sep,(0-0),AS Roma ,0 - 2
 Sampdoria,We 25 Sep,(1-0),Fiorentina ,2 - 1
 Bologna,We 25 Sep,(0-0),Genoa ,0 - 0
 Lazio,We 25 Sep,(1-0),Inter Milan ,1 - 0
 Cagliari,We 25 Sep,(0-0),Napoli ,0 - 1
 Sassuolo,We 25 Sep,(0-0),Parma ,1 - 0
 Lecce,We 25 Sep,(1-1),SPAL ,1 - 3
 AC Milan,Th 26 Sep,(0-1),Torino ,2 - 1
 SPAL,Sa 28 Sep,(1-0),Juventus ,2 - 0
 Inter Milan,Sa 28 Sep,(0-2),Sampdoria ,1 - 3
 Atalanta,Sa 28 Sep,(0-4),Sassuolo ,1 - 4
 Brescia,Su 29 Sep,(2-0),Napoli ,2 - 1
 Genoa,Su 29 Sep,(2-0),Lazio ,4 - 0
 AS Roma,Su 29 Sep,(0-0),Lecce ,0 - 1
 Bologna,Su 29 Sep,(1-0),Udinese ,1 - 0
 Hellas Verona,Su 29 Sep,(1-0),Cagliari ,1 - 1
 Fiorentina,Su 29 Sep,(0-1),AC Milan ,1 - 3
 Torino,Mo 30 Sep,(2-2),Parma ,3 - 2
 Parma,Sa 5 Oct,(1-0),SPAL ,1 - 0
 Sampdoria,Sa 5 Oct,(1-0),Hellas Verona ,2 - 0
 AC Milan,Sa 5 Oct,(1-0),Genoa ,1 - 2
 Udinese,Su 6 Oct,(0-0),Fiorentina ,1 - 0
 Cagliari,Su 6 Oct,(1-1),AS Roma ,1 - 1
 Lecce,Su 6 Oct,(2-0),Atalanta ,3 - 1
 Lazio,Su 6 Oct,(2-2),Bologna ,2 - 2
 Napoli,Su 6 Oct,(0-0),Torino ,0 - 0
 Juventus,Su 6 Oct,(1-1),Inter Milan ,1 - 2
 Atalanta,Sa 19 Oct,(0-3),Lazio ,3 - 3
 Hellas Verona,Sa 19 Oct,(1-0),Napoli ,2 - 0
 Bologna,Sa 19 Oct,(1-1),Juventus ,2 - 1
 Inter Milan,Su 20 Oct,(1-3),Sassuolo ,3 - 4
 SPAL,Su 20 Oct,(1-0),Cagliari ,2 - 0
 AS Roma,Su 20 Oct,(0-0),Sampdoria ,0 - 0
 Torino,Su 20 Oct,(1-0),Udinese ,1 - 0
 Genoa,Su 20 Oct,(3-0),Parma ,5 - 1
 Lecce,Su 20 Oct,(1-0),AC Milan ,2 - 2
 Fiorentina,Mo 21 Oct,(0-0),Brescia ,0 - 0
 Sassuolo,Fr 25 Oct,(0-0),Hellas Verona ,0 - 1
 Juventus,Sa 26 Oct,(0-0),Lecce ,1 - 1
 Parma,Sa 26 Oct,(1-2),Inter Milan ,2 - 2
 Brescia,Sa 26 Oct,(0-1),Genoa ,3 - 1
 Sampdoria,Su 27 Oct,(0-0),Bologna ,2 - 1
 Udinese,Su 27 Oct,(3-1),Atalanta ,7 - 1
 Napoli,Su 27 Oct,(1-1),SPAL ,1 - 1
 Cagliari,Su 27 Oct,(0-1),Torino ,1 - 1
 AC Milan,Su 27 Oct,(1-0),AS Roma ,2 - 1
 Lazio,Su 27 Oct,(1-1),Fiorentina ,1 - 2
 Hellas Verona,Tu 29 Oct,(0-1),Parma ,0 - 1
 Inter Milan,Tu 29 Oct,(0-1),Brescia ,1 - 2
 Atalanta,We 30 Oct,(1-1),Napoli ,2 - 2
 Bologna,We 30 Oct,(0-1),Cagliari ,3 - 2
 Genoa,We 30 Oct,(1-1),Juventus ,2 - 1
 Torino,We 30 Oct,(2-0),Lazio ,4 - 0
 Lecce,We 30 Oct,(0-1),Sampdoria ,1 - 1
 Fiorentina,We 30 Oct,(1-0),Sassuolo ,1 - 2
 AS Roma,We 30 Oct,(0-1),Udinese ,0 - 4
 SPAL,Th 31 Oct,(0-0),AC Milan ,1 - 0
 Napoli,Sa 2 Nov,(1-0),AS Roma ,2 - 1
 Inter Milan,Sa 2 Nov,(0-0),Bologna ,1 - 2
