Away,Date,Half_time,Home,Score
 Benevento,Su 6 Dec,(0-0),Parma ,0 - 0
 Napoli,Su 6 Dec,(0-1),Crotone ,0 - 4
 AC Milan,Su 6 Dec,(0-1),Sampdoria ,1 - 2
 Genoa,Mo 7 Dec,(0-0),Fiorentina ,1 - 1
 Benevento,Fr 11 Dec,(1-0),Sassuolo ,1 - 0
 Spezia,Sa 12 Dec,(1-1),Crotone ,4 - 1
 Udinese,Sa 12 Dec,(0-1),Torino ,2 - 3
 Hellas Verona,Sa 12 Dec,(0-1),Lazio ,1 - 2
 Inter Milan,Su 13 Dec,(1-0),Cagliari ,1 - 3
 Fiorentina,Su 13 Dec,(1-0),Atalanta ,3 - 0
 AS Roma,Su 13 Dec,(1-5),Bologna ,1 - 5
 Sampdoria,Su 13 Dec,(0-1),Napoli ,2 - 1
 Juventus,Su 13 Dec,(0-0),Genoa ,1 - 3
 Parma,Su 13 Dec,(0-1),AC Milan ,2 - 2
 Crotone,Tu 15 Dec,(0-0),Udinese ,0 - 0
 Lazio,Tu 15 Dec,(1-1),Benevento ,1 - 1
 Atalanta,We 16 Dec,(1-0),Juventus ,1 - 1
 Sassuolo,We 16 Dec,(1-1),Fiorentina ,1 - 1
 AC Milan,We 16 Dec,(0-0),Genoa ,2 - 2
 Sampdoria,We 16 Dec,(0-1),Hellas Verona ,1 - 2
 Napoli,We 16 Dec,(0-0),Inter Milan ,1 - 0
 Cagliari,We 16 Dec,(0-0),Parma ,0 - 0
 Bologna,We 16 Dec,(1-0),Spezia ,2 - 2
 Torino,Th 17 Dec,(2-0),AS Roma ,3 - 1
 Hellas Verona,Sa 19 Dec,(1-1),Fiorentina ,1 - 1
 Crotone,Sa 19 Dec,(2-1),Sampdoria ,3 - 1
 Juventus,Sa 19 Dec,(0-2),Parma ,0 - 4
 Bologna,Su 20 Dec,(0-0),Torino ,1 - 1
 Genoa,Su 20 Dec,(0-0),Benevento ,2 - 0
 Udinese,Su 20 Dec,(1-0),Cagliari ,1 - 1
 Spezia,Su 20 Dec,(0-0),Inter Milan ,2 - 1
 AC Milan,Su 20 Dec,(0-2),Sassuolo ,1 - 2
 AS Roma,Su 20 Dec,(0-1),Atalanta ,4 - 1
 Napoli,Su 20 Dec,(1-0),Lazio ,2 - 0
 Parma,Tu 22 Dec,(2-0),Crotone ,2 - 1
 Fiorentina,Tu 22 Dec,(0-1),Juventus ,0 - 3
 Inter Milan,We 23 Dec,(0-0),Hellas Verona ,1 - 2
 Lazio,We 23 Dec,(2-1),AC Milan ,3 - 2
 Cagliari,We 23 Dec,(1-0),AS Roma ,3 - 2
 Atalanta,We 23 Dec,(0-2),Bologna ,2 - 2
 Torino,We 23 Dec,(0-0),Napoli ,1 - 1
 Sassuolo,We 23 Dec,(0-1),Sampdoria ,2 - 3
 Genoa,We 23 Dec,(1-1),Spezia ,1 - 2
 Benevento,We 23 Dec,(0-1),Udinese ,0 - 2
 Crotone,Su 3 Jan,(2-2),Inter Milan ,6 - 2
 Sampdoria,Su 3 Jan,(0-0),AS Roma ,1 - 0
 Sassuolo,Su 3 Jan,(2-0),Atalanta ,5 - 1
 Napoli,Su 3 Jan,(0-1),Cagliari ,1 - 4
 Bologna,Su 3 Jan,(0-0),Fiorentina ,0 - 0
 Lazio,Su 3 Jan,(0-1),Genoa ,1 - 1
 Torino,Su 3 Jan,(0-1),Parma ,0 - 3
 Hellas Verona,Su 3 Jan,(0-0),Spezia ,0 - 1
 AC Milan,Su 3 Jan,(0-1),Benevento ,0 - 2
 Udinese,Su 3 Jan,(1-0),Juventus ,4 - 1
 Benevento,We 6 Jan,(1-2),Cagliari ,1 - 2
 Parma,We 6 Jan,(1-0),Atalanta ,3 - 0
 Udinese,We 6 Jan,(2-1),Bologna ,2 - 2
 AS Roma,We 6 Jan,(0-3),Crotone ,1 - 3
 Fiorentina,We 6 Jan,(1-0),Lazio ,2 - 1
 Inter Milan,We 6 Jan,(2-0),Sampdoria ,2 - 1
 Genoa,We 6 Jan,(0-0),Sassuolo ,2 - 1
 Hellas Verona,We 6 Jan,(0-0),Torino ,1 - 1
 Spezia,We 6 Jan,(0-0),Napoli ,1 - 2
 Juventus,We 6 Jan,(1-1),AC Milan ,1 - 3
 Atalanta,Sa 9 Jan,(0-1),Benevento ,1 - 4
 Bologna,Sa 9 Jan,(1-0),Genoa ,2 - 0
 Torino,Sa 9 Jan,(2-0),AC Milan ,2 - 0
 Inter Milan,Su 10 Jan,(1-0),AS Roma ,2 - 2
 Crotone,Su 10 Jan,(2-0),Hellas Verona ,2 - 1
 Lazio,Su 10 Jan,(0-0),Parma ,0 - 2
 Napoli,Su 10 Jan,(1-1),Udinese ,1 - 2
 Cagliari,Su 10 Jan,(0-0),Fiorentina ,1 - 0
 Sassuolo,Su 10 Jan,(0-0),Juventus ,3 - 1
 Sampdoria,Mo 11 Jan,(1-1),Spezia ,2 - 1
 AS Roma,Fr 15 Jan,(2-0),Lazio ,3 - 0
 Hellas Verona,Sa 16 Jan,(1-0),Bologna ,1 - 0
 Spezia,Sa 16 Jan,(0-0),Torino ,0 - 0
 Udinese,Sa 16 Jan,(0-0),Sampdoria ,2 - 1
 Fiorentina,Su 17 Jan,(4-0),Napoli ,6 - 0
 Benevento,Su 17 Jan,(2-0),Crotone ,4 - 1
 Parma,Su 17 Jan,(0-1),Sassuolo ,1 - 1
 Genoa,Su 17 Jan,(0-0),Atalanta ,0 - 0
 Juventus,Su 17 Jan,(1-0),Inter Milan ,2 - 0
 AC Milan,Mo 18 Jan,(0-1),Cagliari ,0 - 2
 Atalanta,We 20 Jan,(1-1),Udinese ,1 - 1
 Torino,Fr 22 Jan,(1-0),Benevento ,2 - 2
 Spezia,Sa 23 Jan,(1-1),AS Roma ,4 - 3
 Atalanta,Sa 23 Jan,(0-1),AC Milan ,0 - 3
 Inter Milan,Sa 23 Jan,(0-0),Udinese ,0 - 0
 Crotone,Sa 23 Jan,(2-0),Fiorentina ,2 - 1
 Bologna,Su 24 Jan,(1-0),Juventus ,2 - 0
 Cagliari,Su 24 Jan,(1-0),Genoa ,1 - 0
 Napoli,Su 24 Jan,(1-1),Hellas Verona ,3 - 1
 Sassuolo,Su 24 Jan,(1-1),Lazio ,2 - 1
 Sampdoria,Su 24 Jan,(0-2),Parma ,0 - 2
 Fiorentina,Fr 29 Jan,(0-0),Torino ,1 - 1
 AC Milan,Sa 30 Jan,(0-1),Bologna ,1 - 2
 Juventus,Sa 30 Jan,(0-1),Sampdoria ,0 - 2
 Benevento,Sa 30 Jan,(1-0),Inter Milan ,4 - 0
 Udinese,Su 31 Jan,(0-0),Spezia ,0 - 1
 Lazio,Su 31 Jan,(0-1),Atalanta ,1 - 3
 Sassuolo,Su 31 Jan,(0-0),Cagliari ,1 - 1
 Genoa,Su 31 Jan,(0-2),Crotone ,0 - 3
 Parma,Su 31 Jan,(1-0),Napoli ,2 - 0
 Hellas Verona,Su 31 Jan,(3-0),AS Roma ,3 - 1
 Inter Milan,Fr 5 Feb,(0-1),Fiorentina ,0 - 2
 Torino,Sa 6 Feb,(3-2),Atalanta ,3 - 3
 Spezia,Sa 6 Feb,(1-1),Sassuolo ,1 - 2
 AS Roma,Sa 6 Feb,(1-0),Juventus ,2 - 0
 Napoli,Sa 6 Feb,(2-0),Genoa ,2 - 1
 Sampdoria,Su 7 Feb,(0-0),Benevento ,1 - 1
 Crotone,Su 7 Feb,(1-0),AC Milan ,4 - 0
 Hellas Verona,Su 7 Feb,(0-0),Udinese ,2 - 0
 Bologna,Su 7 Feb,(0-2),Parma ,0 - 3
 Cagliari,Su 7 Feb,(0-0),Lazio ,1 - 0
 Benevento,Fr 12 Feb,(1-0),Bologna ,1 - 1
 Genoa,Sa 13 Feb,(0-0),Torino ,0 - 0
 Juventus,Sa 13 Feb,(1-0),Napoli ,1 - 0
 AC Milan,Sa 13 Feb,(0-0),Spezia ,2 - 0
 Udinese,Su 14 Feb,(2-0),AS Roma ,3 - 0
 Atalanta,Su 14 Feb,(0-0),Cagliari ,0 - 1
 Fiorentina,Su 14 Feb,(1-1),Sampdoria ,2 - 1
 Sassuolo,Su 14 Feb,(1-1),Crotone ,1 - 2
 Lazio,Su 14 Feb,(2-0),Inter Milan ,3 - 1
 Parma,Mo 15 Feb,(1-1),Hellas Verona ,2 - 1
 Spezia,Fr 19 Feb,(0-0),Fiorentina ,3 - 0
 Torino,Fr 19 Feb,(0-0),Cagliari ,0 - 1
 Sampdoria,Sa 20 Feb,(1-0),Lazio ,1 - 0
 Hellas Verona,Sa 20 Feb,(0-1),Genoa ,2 - 2
 Bologna,Sa 20 Feb,(0-1),Sassuolo ,1 - 1
 Udinese,Su 21 Feb,(2-0),Parma ,2 - 2
 Inter Milan,Su 21 Feb,(0-1),AC Milan ,0 - 3
 Napoli,Su 21 Feb,(0-0),Atalanta ,4 - 2
 AS Roma,Su 21 Feb,(0-0),Benevento ,0 - 0
 Crotone,Mo 22 Feb,(2-0),Juventus ,3 - 0
 Parma,Sa 27 Feb,(0-2),Spezia ,2 - 2
 Lazio,Sa 27 Feb,(1-0),Bologna ,2 - 0
 Juventus,Sa 27 Feb,(0-0),Hellas Verona ,1 - 1
 Atalanta,Su 28 Feb,(0-1),Sampdoria ,0 - 2
 Cagliari,Su 28 Feb,(0-0),Crotone ,0 - 2
 Genoa,Su 28 Feb,(1-0),Inter Milan ,3 - 0
 Fiorentina,Su 28 Feb,(0-0),Udinese ,1 - 0
 Benevento,Su 28 Feb,(1-0),Napoli ,2 - 0
 AC Milan,Su 28 Feb,(0-1),AS Roma ,1 - 2
 Spezia,Tu 2 Mar,(0-0),Juventus ,3 - 0
 Napoli,We 3 Mar,(2-1),Sassuolo ,3 - 3
 Udinese,We 3 Mar,(0-0),AC Milan ,1 - 1
 Crotone,We 3 Mar,(1-1),Atalanta ,5 - 1
 Hellas Verona,We 3 Mar,(0-2),Benevento ,0 - 3
 Bologna,We 3 Mar,(1-0),Cagliari ,1 - 0
 AS Roma,We 3 Mar,(0-0),Fiorentina ,1 - 2
 Sampdoria,We 3 Mar,(0-0),Genoa ,1 - 1
 Inter Milan,Th 4 Mar,(0-0),Parma ,1 - 2
 Benevento,Sa 6 Mar,(0-1),Spezia ,1 - 1
 Sassuolo,Sa 6 Mar,(1-0),Udinese ,2 - 0
 Lazio,Sa 6 Mar,(1-1),Juventus ,3 - 1
 Genoa,Su 7 Mar,(1-0),AS Roma ,1 - 0
 Torino,Su 7 Mar,(1-1),Crotone ,4 - 2
 Parma,Su 7 Mar,(2-1),Fiorentina ,3 - 3
 AC Milan,Su 7 Mar,(0-1),Hellas Verona ,0 - 2
 Cagliari,Su 7 Mar,(0-1),Sampdoria ,2 - 2
 Bologna,Su 7 Mar,(1-0),Napoli ,3 - 1
 Atalanta,Mo 8 Mar,(0-0),Inter Milan ,1 - 0
 Crotone,Fr 12 Mar,(2-1),Lazio ,3 - 2
 Spezia,Fr 12 Mar,(0-0),Atalanta ,3 - 1
 Hellas Verona,Sa 13 Mar,(1-1),Sassuolo ,3 - 2
 Fiorentina,Sa 13 Mar,(0-3),Benevento ,1 - 4
 Udinese,Sa 13 Mar,(1-1),Genoa ,1 - 1
