Away,Date,Home,Score
Parma,18/12/16,Sampdoria,2-0
Empoli,18/12/16,Fiorentina,3-1
Sassuolo,18/12/16,Frosinone,0-2
Napoli,18/12/16,Cagliari,0-1
Genoa,18/12/16,AS Roma,3-2
Lazio,18/12/17,Atalanta,1-0
AC Milan,18/12/18,Bologna,0-0
Cagliari,18/12/22,Lazio,3-1
Atalanta,18/12/22,Genoa,3-1
Fiorentina,18/12/22,AC Milan,0-1
SPAL,18/12/22,Napoli,1-0
Torino,18/12/22,Sassuolo,1-1
Frosinone,18/12/22,Udinese,1-1
Sampdoria,18/12/22,Empoli,2-4
Inter,18/12/22,Chievo,1-1
Bologna,18/12/22,Parma,0-0
AS Roma,18/12/22,Juventus,1-0
AC Milan,18/12/26,Frosinone,0-0
Juventus,18/12/26,Atalanta,2-2
Lazio,18/12/26,Bologna,0-2
Genoa,18/12/26,Cagliari,1-0
Chievo,18/12/26,Sampdoria,2-0
Parma,18/12/26,Fiorentina,0-1
Sassuolo,18/12/26,AS Roma,3-1
Udinese,18/12/26,SPAL,0-0
Empoli,18/12/26,Torino,3-0
Napoli,18/12/26,Inter,1-0
Sampdoria,18/12/29,Juventus,2-1
Fiorentina,18/12/29,Genoa,0-0
Frosinone,18/12/29,Chievo,1-0
Torino,18/12/29,Lazio,1-1
AS Roma,18/12/29,Parma,0-2
Atalanta,18/12/29,Sassuolo,2-6
Cagliari,18/12/29,Udinese,2-0
Inter,18/12/29,Empoli,0-1
Bologna,18/12/29,Napoli,3-2
SPAL,18/12/29,AC Milan,2-1
Torino,19/01/19,AS Roma,3-2
Parma,19/01/19,Udinese,1-2
Sassuolo,19/01/19,Inter,0-0
Atalanta,19/01/20,Frosinone,0-5
Bologna,19/01/20,SPAL,1-1
Sampdoria,19/01/20,Fiorentina,3-3
Empoli,19/01/20,Cagliari,2-2
Lazio,19/01/20,Napoli,2-1
AC Milan,19/01/21,Genoa,0-2
Chievo,19/01/21,Juventus,3-0
Cagliari,19/01/26,Sassuolo,3-0
Udinese,19/01/26,Sampdoria,4-0
Napoli,19/01/26,AC Milan,0-0
Fiorentina,19/01/27,Chievo,3-4
AS Roma,19/01/27,Atalanta,3-3
Frosinone,19/01/27,Bologna,0-4
SPAL,19/01/27,Parma,2-3
Inter,19/01/27,Torino,1-0
Juventus,19/01/27,Lazio,1-2
Genoa,19/01/28,Empoli,1-3
Chievo,19/02/02,Empoli,2-2
Sampdoria,19/02/02,Napoli,3-0
Parma,19/02/02,Juventus,3-3
Torino,19/03/02,SPAL,0-0
Sassuolo,19/03/02,Genoa,1-1
Fiorentina,19/03/02,Udinese,1-1
Bologna,19/03/02,Inter,0-1
AC Milan,19/03/02,AS Roma,1-1
Lazio,19/04/02,Frosinone,0-1
Atalanta,19/04/02,Cagliari,0-1
Empoli,19/07/02,Lazio,1-0
AS Roma,19/08/02,Chievo,0-3
Napoli,19/09/02,Fiorentina,0-0
Inter,19/09/02,Parma,0-1
Genoa,19/10/02,Bologna,1-1
SPAL,19/10/02,Atalanta,2-1
Frosinone,19/10/02,Sampdoria,0-1
Udinese,19/10/02,Torino,1-0
Juventus,19/10/02,Sassuolo,0-3
Cagliari,19/10/02,AC Milan,3-0
Frosinone,19/02/15,Juventus,3-0
Parma,19/02/16,Cagliari,2-1
AC Milan,19/02/16,Atalanta,1-3
Fiorentina,19/02/17,SPAL,1-4
Lazio,19/02/17,Genoa,2-1
Chievo,19/02/17,Udinese,1-0
Sassuolo,19/02/17,Empoli,3-0
Sampdoria,19/02/17,Inter,2-1
Torino,19/02/17,Napoli,0-0
Bologna,19/02/18,AS Roma,2-1
Empoli,19/02/22,AC Milan,3-0
Atalanta,19/02/23,Torino,2-0
AS Roma,19/02/23,Frosinone,2-3
Cagliari,19/02/24,Sampdoria,1-0
Juventus,19/02/24,Bologna,0-1
Genoa,19/02/24,Chievo,0-0
SPAL,19/02/24,Sassuolo,1-1
Napoli,19/02/24,Parma,0-4
Inter,19/02/24,Fiorentina,3-3
Udinese,19/04/17,Lazio,2-0
Inter,19/01/03,Cagliari,2-1
Parma,19/02/03,Empoli,3-3
Sassuolo,19/02/03,AC Milan,1-0
AS Roma,19/02/03,Lazio,3-0
Chievo,19/03/03,Torino,3-0
Frosinone,19/03/03,Genoa,0-0
Sampdoria,19/03/03,SPAL,1-2
Bologna,19/03/03,Udinese,2-1
Fiorentina,19/03/03,Atalanta,3-1
Juventus,19/03/03,Napoli,1-2
Udinese,19/08/03,Juventus,4-1
Genoa,19/09/03,Parma,1-0
AC Milan,19/09/03,Chievo,1-2
Cagliari,19/10/03,Bologna,2-0
SPAL,19/10/03,Inter,2-0
Atalanta,19/10/03,Sampdoria,1-2
Torino,19/10/03,Frosinone,1-2
Napoli,19/10/03,Sassuolo,1-1
Lazio,19/10/03,Fiorentina,1-1
Empoli,19/11/03,AS Roma,2-1
Fiorentina,19/03/15,Cagliari,2-1
Sampdoria,19/03/16,Sassuolo,3-5
AS Roma,19/03/16,SPAL,2-1
Bologna,19/03/16,Torino,2-3
Juventus,19/03/17,Genoa,2-0
Chievo,19/03/17,Atalanta,1-1
Parma,19/03/17,Lazio,4-1
Frosinone,19/03/17,Empoli,2-1
Udinese,19/03/17,Napoli,4-2
Inter,19/03/17,AC Milan,2-3
Cagliari,19/03/29,Chievo,0-3
Genoa,19/03/30,Udinese,2-0
Empoli,19/03/30,Juventus,1-0
AC Milan,19/03/30,Sampdoria,1-0
Atalanta,19/03/31,Parma,1-3
Napoli,19/03/31,AS Roma,1-4
Torino,19/03/31,Fiorentina,1-1
SPAL,19/03/31,Frosinone,0-1
Sassuolo,19/03/31,Bologna,2-1
Lazio,19/03/31,Inter,0-1
Udinese,19/02/04,AC Milan,1-1
Juventus,19/02/04,Cagliari,0-2
Napoli,19/03/04,Empoli,2-1
Inter,19/03/04,Genoa,0-4
Fiorentina,19/03/04,AS Roma,2-2
Lazio,19/03/04,SPAL,1-0
Sampdoria,19/03/04,Torino,2-1
Parma,19/03/04,Frosinone,3-2
Chievo,19/04/04,Sassuolo,4-0
Bologna,19/04/04,Atalanta,4-1
Torino,19/06/04,Parma,0-0
AC Milan,19/06/04,Juventus,2-1
AS Roma,19/06/04,Sampdoria,0-1
Frosinone,19/07/04,Fiorentina,0-1
SPAL,19/07/04,Cagliari,2-1
Empoli,19/07/04,Udinese,3-2
Atalanta,19/07/04,Inter,0-0
Sassuolo,19/07/04,Lazio,2-2
Genoa,19/07/04,Napoli,1-1
Chievo,19/08/04,Bologna,3-0
Juventus,19/04/13,SPAL,2-1
Udinese,19/04/13,AS Roma,1-0
Lazio,19/04/13,AC Milan,1-0
