Away,Date,Home,Score
Bologna,20/05/07,Inter,1-2
Verona,20/05/07,Brescia,2-0
Atalanta,20/05/07,Cagliari,0-1
Fiorentina,20/05/07,Parma,1-2
SPAL,20/05/07,Sampdoria,3-0
Genoa,20/05/07,Udinese,2-2
AS Roma,20/05/07,Napoli,2-1
Lazio,20/07/07,Lecce,2-1
Juventus,20/07/07,AC Milan,4-2
Napoli,20/08/07,Genoa,1-2
Cagliari,20/08/07,Fiorentina,0-0
Sampdoria,20/08/07,Atalanta,2-0
Sassuolo,20/08/07,Bologna,1-2
Parma,20/08/07,AS Roma,2-1
Brescia,20/08/07,Torino,3-1
Udinese,20/09/07,SPAL,0-3
Inter,20/09/07,Verona,2-2
Sassuolo,20/11/07,Lazio,1-2
AS Roma,20/11/07,Brescia,0-3
Atalanta,20/11/07,Juventus,2-2
SPAL,20/12/07,Genoa,2-0
Lecce,20/12/07,Cagliari,0-0
Bologna,20/12/07,Parma,2-2
Sampdoria,20/12/07,Udinese,1-3
Verona,20/12/07,Fiorentina,1-1
AC Milan,20/12/07,Napoli,2-2
Torino,20/07/13,Inter,3-1
Brescia,20/07/14,Atalanta,6-2
Napoli,20/07/15,Bologna,1-1
Parma,20/07/15,AC Milan,3-1
Cagliari,20/07/15,Sampdoria,3-0
Fiorentina,20/07/15,Lecce,1-3
Verona,20/07/15,AS Roma,2-1
Juventus,20/07/15,Sassuolo,3-3
Lazio,20/07/15,Udinese,0-0
Genoa,20/07/16,Torino,3-0
Inter,20/07/16,SPAL,0-4
Atalanta,20/07/18,Verona,1-1
Sassuolo,20/07/18,Cagliari,1-1
Bologna,20/07/18,AC Milan,5-1
Sampdoria,20/07/19,Parma,2-3
SPAL,20/07/19,Brescia,2-1
Lecce,20/07/19,Genoa,2-1
Udinese,20/07/19,Napoli,2-1
Torino,20/07/19,Fiorentina,2-0
Inter,20/07/19,AS Roma,2-2
Lazio,20/07/20,Juventus,2-1
Bologna,20/07/21,Atalanta,1-0
AC Milan,20/07/21,Sassuolo,1-2
Napoli,20/07/22,Parma,2-1
Fiorentina,20/07/22,Inter,0-0
Brescia,20/07/22,Lecce,3-1
Genoa,20/07/22,Sampdoria,1-2
AS Roma,20/07/22,SPAL,1-6
Verona,20/07/22,Torino,1-1
Juventus,20/07/23,Udinese,2-1
Cagliari,20/07/23,Lazio,2-1
Atalanta,20/07/24,AC Milan,1-1
Parma,20/07/25,Brescia,1-2
Inter,20/07/25,Genoa,0-3
Sassuolo,20/07/25,Napoli,2-0
Lecce,20/07/26,Bologna,3-2
Lazio,20/07/26,Verona,1-5
Udinese,20/07/26,Cagliari,0-1
Fiorentina,20/07/26,AS Roma,2-1
Torino,20/07/26,SPAL,1-1
Sampdoria,20/07/26,Juventus,2-0
Atalanta,20/07/28,Parma,1-2
Napoli,20/07/28,Inter,2-0
SPAL,20/07/29,Verona,3-0
Brescia,20/07/29,Lazio,2-0
AC Milan,20/07/29,Sampdoria,1-4
Genoa,20/07/29,Sassuolo,5-0
Lecce,20/07/29,Udinese,1-2
Juventus,20/07/29,Cagliari,2-0
AS Roma,20/07/29,Torino,2-3
Bologna,20/07/29,Fiorentina,4-0
Sampdoria,20/01/08,Brescia,1-1
Inter,20/01/08,Atalanta,0-2
Cagliari,20/01/08,AC Milan,3-0
Lazio,20/01/08,Napoli,3-1
AS Roma,20/01/08,Juventus,1-3
Fiorentina,20/02/08,SPAL,1-3
Torino,20/02/08,Bologna,1-1
Verona,20/02/08,Genoa,3-0
Parma,20/02/08,Lecce,3-4
Udinese,20/02/08,Sassuolo,0-1
Torino,20/09/19,Fiorentina,1-0
AS Roma,20/09/19,Verona,0-0
Napoli,20/09/20,Parma,0-2
Crotone,20/09/20,Genoa,4-1
Cagliari,20/09/20,Sassuolo,1-1
Sampdoria,20/09/20,Juventus,3-0
Bologna,20/09/21,AC Milan,2-0
Inter,20/09/30,Benevento,2-5
Spezia,20/09/30,Udinese,0-2
Atalanta,20/09/30,Lazio,1-4
Atalanta,20/09/26,Torino,2-4
Lazio,20/09/26,Cagliari,0-2
Benevento,20/09/26,Sampdoria,2-3
Fiorentina,20/09/26,Inter,4-3
Sassuolo,20/09/27,Spezia,1-4
Udinese,20/09/27,Verona,1-0
Genoa,20/09/27,Napoli,6-0
AC Milan,20/09/27,Crotone,0-2
Juventus,20/09/27,AS Roma,2-2
Parma,20/09/28,Bologna,4-1
Sampdoria,20/02/10,Fiorentina,1-2
Crotone,20/03/10,Sassuolo,4-1
AS Roma,20/03/10,Udinese,0-1
Cagliari,20/04/10,Atalanta,5-2
Bologna,20/04/10,Benevento,1-0
Inter,20/04/10,Lazio,1-1
Verona,20/04/10,Parma,1-0
Spezia,20/04/10,AC Milan,3-0
Torino,20/04/11,Genoa,1-2
Napoli,21/07/04,Juventus,2-1
Atalanta,20/10/17,Napoli,4-1
AC Milan,20/10/17,Inter,1-2
Lazio,20/10/17,Sampdoria,3-0
Juventus,20/10/17,Crotone,1-1
Sassuolo,20/10/18,Bologna,3-4
Fiorentina,20/10/18,Spezia,2-2
Cagliari,20/10/18,Torino,2-3
Parma,20/10/18,Udinese,3-2
Benevento,20/10/18,AS Roma,5-2
Genoa,20/10/19,Verona,0-0
Torino,20/10/23,Sassuolo,3-3
Sampdoria,20/10/24,Atalanta,1-3
Inter,20/10/24,Genoa,0-2
Bologna,20/10/24,Lazio,2-1
Crotone,20/10/25,Cagliari,4-2
Napoli,20/10/25,Benevento,1-2
Spezia,20/10/25,Parma,2-2
Udinese,20/10/25,Fiorentina,3-2
Verona,20/10/25,Juventus,1-1
AS Roma,20/10/26,AC Milan,3-3
Atalanta,20/10/31,Crotone,1-2
Parma,20/10/31,Inter,2-2
Cagliari,20/10/31,Bologna,3-2
AC Milan,20/01/11,Udinese,1-2
Juventus,20/01/11,Spezia,1-4
Lazio,20/01/11,Torino,3-4
Sassuolo,20/01/11,Napoli,0-2
Fiorentina,20/01/11,AS Roma,2-0
Genoa,20/01/11,Sampdoria,1-1
Benevento,20/02/11,Verona,3-1
Udinese,20/06/11,Sassuolo,0-0
Sampdoria,20/07/11,Cagliari,2-0
Spezia,20/07/11,Benevento,0-3
Fiorentina,20/07/11,Parma,0-0
Juventus,20/08/11,Lazio,1-1
Inter,20/08/11,Atalanta,1-1
AS Roma,20/08/11,Genoa,1-3
Crotone,20/08/11,Torino,0-0
Napoli,20/08/11,Bologna,0-1
Verona,20/08/11,AC Milan,2-2
Lazio,20/11/21,Crotone,0-2
Atalanta,20/11/21,Spezia,0-0
Cagliari,20/11/21,Juventus,2-0
Benevento,20/11/22,Fiorentina,0-1
Sassuolo,20/11/22,Verona,0-2
Torino,20/11/22,Inter,4-2
Parma,20/11/22,AS Roma,3-0
Bologna,20/11/22,Sampdoria,1-2
Genoa,20/11/22,Udinese,1-0
AC Milan,20/11/22,Napoli,1-3
Inter,20/11/28,Sassuolo,0-3
Juventus,20/11/28,Benevento,1-1
Verona,20/11/28,Atalanta,0-2
Udinese,20/11/29,Lazio,1-3
Crotone,20/11/29,Bologna,1-0
Fiorentina,20/11/29,AC Milan,2-0
Spezia,20/11/29,Cagliari,2-2
AS Roma,20/11/29,Napoli,4-0
Sampdoria,20/11/30,Torino,2-2
Parma,20/11/30,Genoa,1-2
Lazio,20/05/12,Spezia,1-2
Torino,20/05/12,Juventus,2-1
Bologna,20/05/12,Inter,3-1
Cagliari,20/06/12,Verona,1-1
Benevento,20/06/12,Parma,0-0
Sassuolo,20/06/12,AS Roma,0-0
Napoli,20/06/12,Crotone,0-4
AC Milan,20/06/12,Sampdoria,1-2
Genoa,20/07/12,Fiorentina,1-1
Atalanta,21/01/20,Udinese,1-1
Benevento,20/11/12,Sassuolo,1-0
Spezia,20/12/12,Crotone,4-1
Udinese,20/12/12,Torino,2-3
Verona,20/12/12,Lazio,1-2
Inter,20/12/13,Cagliari,1-3
Fiorentina,20/12/13,Atalanta,3-0
AS Roma,20/12/13,Bologna,1-5
Sampdoria,20/12/13,Napoli,2-1
Juventus,20/12/13,Genoa,1-3
Parma,20/12/13,AC Milan,2-2
Crotone,20/12/15,Udinese,0-0
Lazio,20/12/15,Benevento,1-1
Atalanta,20/12/16,Juventus,1-1
Sampdoria,20/12/16,Verona,1-2
AC Milan,20/12/16,Genoa,2-2
Napoli,20/12/16,Inter,1-0
Cagliari,20/12/16,Parma,0-0
Bologna,20/12/16,Spezia,2-2
Sassuolo,20/12/16,Fiorentina,1-1
Torino,20/12/17,AS Roma,3-1
Verona,20/12/19,Fiorentina,1-1
Crotone,20/12/19,Sampdoria,3-1
Juventus,20/12/19,Parma,0-4
Bologna,20/12/20,Torino,1-1
Genoa,20/12/20,Benevento,2-0
Spezia,20/12/20,Inter,2-1
Udinese,20/12/20,Cagliari,1-1
AC Milan,20/12/20,Sassuolo,1-2
AS Roma,20/12/20,Atalanta,4-1
Napoli,20/12/20,Lazio,2-0
Parma,20/12/22,Crotone,2-1
Fiorentina,20/12/22,Juventus,0-3
Inter,20/12/23,Verona,1-2
Atalanta,20/12/23,Bologna,2-2
Lazio,20/12/23,AC Milan,3-2
Torino,20/12/23,Napoli,1-1
Cagliari,20/12/23,AS Roma,3-2
Sassuolo,20/12/23,Sampdoria,2-3
Genoa,20/12/23,Spezia,1-2
Benevento,20/12/23,Udinese,0-2
Crotone,21/03/01,Inter,6-2
Sassuolo,21/03/01,Atalanta,5-1
Lazio,21/03/01,Genoa,1-1
Napoli,21/03/01,Cagliari,1-4
Torino,21/03/01,Parma,0-3
Sampdoria,21/03/01,AS Roma,1-0
Verona,21/03/01,Spezia,0-1
Bologna,21/03/01,Fiorentina,0-0
AC Milan,21/03/01,Benevento,0-2
Udinese,21/03/01,Juventus,4-1
Benevento,21/06/01,Cagliari,1-2
Parma,21/06/01,Atalanta,3-0
Udinese,21/06/01,Bologna,2-2
AS Roma,21/06/01,Crotone,1-3
Fiorentina,21/06/01,Lazio,2-1
Inter,21/06/01,Sampdoria,2-1
Genoa,21/06/01,Sassuolo,2-1
Verona,21/06/01,Torino,1-1
Spezia,21/06/01,Napoli,1-2
Juventus,21/06/01,AC Milan,1-3
Atalanta,21/09/01,Benevento,1-4
Bologna,21/09/01,Genoa,2-0
Torino,21/09/01,AC Milan,2-0
Inter,21/10/01,AS Roma,2-2
Crotone,21/10/01,Verona,2-1
Lazio,21/10/01,Parma,0-2
Napoli,21/10/01,Udinese,1-2
Cagliari,21/10/01,Fiorentina,1-0
Sassuolo,21/10/01,Juventus,3-1
Sampdoria,21/11/01,Spezia,2-1
AS Roma,21/01/15,Lazio,3-0
Verona,21/01/16,Bologna,1-0
Spezia,21/01/16,Torino,0-0
Udinese,21/01/16,Sampdoria,2-1
Fiorentina,21/01/17,Napoli,6-0
Benevento,21/01/17,Crotone,4-1
Parma,21/01/17,Sassuolo,1-1
Genoa,21/01/17,Atalanta,0-0
Juventus,21/01/17,Inter,2-0
AC Milan,21/01/18,Cagliari,0-2
Torino,21/01/22,Benevento,2-2
Spezia,21/01/23,AS Roma,4-3
Atalanta,21/01/23,AC Milan,0-3
Inter,21/01/23,Udinese,0-0
Crotone,21/01/23,Fiorentina,2-1
Bologna,21/01/24,Juventus,2-0
Napoli,21/01/24,Verona,3-1
Cagliari,21/01/24,Genoa,1-0
Sassuolo,21/01/24,Lazio,2-1
Sampdoria,21/01/24,Parma,0-2
Fiorentina,21/01/29,Torino,1-1
AC Milan,21/01/30,Bologna,1-2
Juventus,21/01/30,Sampdoria,0-2
Benevento,21/01/30,Inter,4-0
Udinese,21/01/31,Spezia,0-1
Lazio,21/01/31,Atalanta,1-3
Sassuolo,21/01/31,Cagliari,1-1
Genoa,21/01/31,Crotone,0-3
Parma,21/01/31,Napoli,2-0
Verona,21/01/31,AS Roma,3-1
Inter,21/05/02,Fiorentina,0-2
Torino,21/06/02,Atalanta,3-3
Spezia,21/06/02,Sassuolo,1-2
AS Roma,21/06/02,Juventus,2-0
Napoli,21/06/02,Genoa,2-1
Sampdoria,21/07/02,Benevento,1-1
Crotone,21/07/02,AC Milan,4-0
Verona,21/07/02,Udinese,2-0
Bologna,21/07/02,Parma,0-3
Cagliari,21/07/02,Lazio,1-0
Benevento,21/12/02,Bologna,1-1
Genoa,21/02/13,Torino,0-0
Juventus,21/02/13,Napoli,1-0
AC Milan,21/02/13,Spezia,2-0
Udinese,21/02/14,AS Roma,3-0
Atalanta,21/02/14,Cagliari,0-1
Fiorentina,21/02/14,Sampdoria,2-1
Sassuolo,21/02/14,Crotone,1-2
Lazio,21/02/14,Inter,3-1
Parma,21/02/15,Verona,2-1
Spezia,21/02/19,Fiorentina,3-0
Torino,21/02/19,Cagliari,0-1
Sampdoria,21/02/20,Lazio,1-0
Verona,21/02/20,Genoa,2-2
Bologna,21/02/20,Sassuolo,1-1
Udinese,21/02/21,Parma,2-2
Inter,21/02/21,AC Milan,0-3
Napoli,21/02/21,Atalanta,4-2
AS Roma,21/02/21,Benevento,0-0
Crotone,21/02/22,Juventus,3-0
Parma,21/02/27,Spezia,2-2
Lazio,21/02/27,Bologna,2-0
Juventus,21/02/27,Verona,1-1
Atalanta,21/02/28,Sampdoria,0-2
Genoa,21/02/28,Inter,3-0
Cagliari,21/02/28,Crotone,0-2
Fiorentina,21/02/28,Udinese,1-0
Benevento,21/02/28,Napoli,2-0
AC Milan,21/02/28,AS Roma,1-2
Sassuolo,21/03/17,Torino,3-2
Spezia,21/02/03,Juventus,3-0
Napoli,21/03/03,Sassuolo,3-3
Crotone,21/03/03,Atalanta,5-1
Verona,21/03/03,Benevento,0-3
Sampdoria,21/03/03,Genoa,1-1
Bologna,21/03/03,Cagliari,1-0
Udinese,21/03/03,AC Milan,1-1
AS Roma,21/03/03,Fiorentina,1-2
Inter,21/04/03,Parma,1-2
Torino,21/05/18,Lazio,0-0
Benevento,21/06/03,Spezia,1-1
Sassuolo,21/06/03,Udinese,2-0
Lazio,21/06/03,Juventus,3-1
Genoa,21/07/03,AS Roma,1-0
AC Milan,21/07/03,Verona,0-2
Torino,21/07/03,Crotone,4-2
Parma,21/07/03,Fiorentina,3-3
Cagliari,21/07/03,Sampdoria,2-2
Bologna,21/07/03,Napoli,3-1
Atalanta,21/08/03,Inter,1-0
Crotone,21/12/03,Lazio,3-2
Spezia,21/12/03,Atalanta,3-1
Verona,21/03/13,Sassuolo,3-2
Fiorentina,21/03/13,Benevento,1-4
Udinese,21/03/13,Genoa,1-1
Sampdoria,21/03/14,Bologna,3-1
AS Roma,21/03/14,Parma,2-0
Inter,21/03/14,Torino,1-2
Juventus,21/03/14,Cagliari,1-3
Napoli,21/03/14,AC Milan,0-1
Genoa,21/03/19,Parma,1-2
Bologna,21/03/20,Crotone,2-3
Cagliari,21/03/20,Spezia,2-1
Atalanta,21/03/21,Verona,0-2
Torino,21/03/21,Sampdoria,1-0
Lazio,21/03/21,Udinese,0-1
Benevento,21/03/21,Juventus,0-1
AC Milan,21/03/21,Fiorentina,2-3
Napoli,21/03/21,AS Roma,0-2
Sassuolo,21/07/04,Inter,2-1
Sampdoria,21/03/04,AC Milan,1-1
Udinese,21/03/04,Atalanta,3-2
Parma,21/03/04,Benevento,2-2
Fiorentina,21/03/04,Genoa,1-1
Verona,21/03/04,Cagliari,0-2
Spezia,21/03/04,Lazio,2-1
Crotone,21/03/04,Napoli,4-3
AS Roma,21/03/04,Sassuolo,2-2
Juventus,21/03/04,Torino,2-2
Inter,21/03/04,Bologna,0-1
Crotone,21/10/04,Spezia,3-2
AC Milan,21/10/04,Parma,1-3
Torino,21/10/04,Udinese,0-1
Cagliari,21/11/04,Inter,1-0
Lazio,21/11/04,Verona,0-1
Napoli,21/11/04,Sampdoria,0-2
Genoa,21/11/04,Juventus,3-1
Bologna,21/11/04,AS Roma,1-0
Atalanta,21/11/04,Fiorentina,2-3
Sassuolo,21/12/04,Benevento,0-1
Udinese,21/04/17,Crotone,1-2
Verona,21/04/17,Sampdoria,3-1
Fiorentina,21/04/17,Sassuolo,3-1
Parma,21/04/17,Cagliari,4-3
Genoa,21/04/18,AC Milan,2-1
Juventus,21/04/18,Atalanta,1-0
Spezia,21/04/18,Bologna,4-1
Benevento,21/04/18,Lazio,5-3
AS Roma,21/04/18,Torino,3-1
Inter,21/04/18,Napoli,1-1
Fiorentina,21/04/20,Verona,1-2
Sassuolo,21/04/21,AC Milan,1-2
Torino,21/04/21,Bologna,1-1
Benevento,21/04/21,Genoa,2-2
Sampdoria,21/04/21,Crotone,0-1
Inter,21/04/21,Spezia,1-1
Cagliari,21/04/21,Udinese,0-1
Parma,21/04/21,Juventus,3-1
Atalanta,21/04/22,AS Roma,1-1
Lazio,21/04/22,Napoli,5-2
Spezia,21/04/24,Genoa,2-0
Crotone,21/04/24,Parma,3-4
Sampdoria,21/04/24,Sassuolo,1-0
Udinese,21/04/25,Benevento,2-4
Verona,21/04/25,Inter,1-0
Juventus,21/04/25,Fiorentina,1-1
AS Roma,21/04/25,Cagliari,3-2
Bologna,21/04/25,Atalanta,5-0
Napoli,21/04/26,Torino,0-2
AC Milan,21/04/26,Lazio,3-0
Spezia,21/01/05,Verona,1-1
Inter,21/01/05,Crotone,0-2
Benevento,21/01/05,AC Milan,2-0
Genoa,21/02/05,Lazio,4-3
Fiorentina,21/02/05,Bologna,3-3
Cagliari,21/02/05,Napoli,1-1
Atalanta,21/02/05,Sassuolo,1-1
Juventus,21/02/05,Udinese,1-2
AS Roma,21/02/05,Sampdoria,2-0
Parma,21/03/05,Torino,1-0
Napoli,21/08/05,Spezia,1-4
Bologna,21/08/05,Udinese,1-1
Sampdoria,21/08/05,Inter,5-1
Lazio,21/08/05,Fiorentina,2-0
Sassuolo,21/09/05,Genoa,1-2
Cagliari,21/09/05,Benevento,1-3
Torino,21/09/05,Verona,1-1
Atalanta,21/09/05,Parma,2-5
Crotone,21/09/05,AS Roma,5-0
AC Milan,21/09/05,Juventus,0-3
Udinese,21/11/05,Napoli,5-1
Fiorentina,21/12/05,Cagliari,0-0
Benevento,21/12/05,Atalanta,2-0
Genoa,21/12/05,Bologna,0-2
AS Roma,21/12/05,Inter,3-1
Parma,21/12/05,Lazio,1-0
Spezia,21/12/05,Sampdoria,2-2
Juventus,21/12/05,Sassuolo,1-3
AC Milan,21/12/05,Torino,0-7
Verona,21/05/13,Crotone,2-1
Atalanta,21/05/15,Genoa,3-4
Torino,21/05/15,Spezia,4-1
Inter,21/05/15,Juventus,3-2
Lazio,21/05/15,AS Roma,2-0
Napoli,21/05/16,Fiorentina,0-2
Crotone,21/05/16,Benevento,1-1
Sampdoria,21/05/16,Udinese,0-1
Sassuolo,21/05/16,Parma,1-3
Cagliari,21/05/16,AC Milan,0-0
Bologna,21/05/17,Verona,2-2
Genoa,21/05/22,Cagliari,0-1
Fiorentina,21/05/22,Crotone,0-0
Parma,21/05/22,Sampdoria,3-0
Udinese,21/05/23,Inter,5-1
AC Milan,21/05/23,Atalanta,0-2
Juventus,21/05/23,Bologna,1-4
Verona,21/05/23,Napoli,1-1
Lazio,21/05/23,Sassuolo,2-0
AS Roma,21/05/23,Spezia,2-2
Benevento,21/05/23,Torino,1-1
Sassuolo,21/08/21,Verona,2-3
Genoa,21/08/21,Inter,4-0
Atalanta,21/08/21,Torino,1-2
Lazio,21/08/21,Empoli,1-3
Salernitana,21/08/22,Bologna,3-2
Juventus,21/08/22,Udinese,2-2
Venezia,21/08/22,Napoli,2-0
Fiorentina,21/08/22,AS Roma,3-1
Spezia,21/08/23,Cagliari,2-2
AC Milan,21/08/23,Sampdoria,0-1
Venezia,21/08/27,Udinese,3-0
Inter,21/08/27,Verona,1-3
Bologna,21/08/28,Atalanta,0-0
Spezia,21/08/28,Lazio,6-1
Torino,21/08/28,Fiorentina,2-1
Empoli,21/08/28,Juventus,0-1
Napoli,21/08/29,Genoa,1-2
Sampdoria,21/08/29,Sassuolo,0-0
Cagliari,21/08/29,AC Milan,4-1
AS Roma,21/08/29,Salernitana,0-4
Venezia,21/11/09,Empoli,1-2
Juventus,21/11/09,Napoli,2-1
Fiorentina,21/11/09,Atalanta,1-2
Inter,21/12/09,Sampdoria,2-2
Genoa,21/12/09,Cagliari,2-3
Udinese,21/12/09,Spezia,0-1
Salernitana,21/12/09,Torino,4-0
Lazio,21/12/09,AC Milan,2-0
Sassuolo,21/12/09,AS Roma,2-1
Verona,21/09/13,Bologna,1-0
Torino,21/09/17,Sassuolo,0-1
Fiorentina,21/09/18,Genoa,1-2
Bologna,21/09/18,Inter,6-1
Atalanta,21/09/18,Salernitana,0-1
Sampdoria,21/09/19,Empoli,0-3
Spezia,21/09/19,Venezia,1-2
AS Roma,21/09/19,Verona,3-2
Cagliari,21/09/19,Lazio,2-2
AC Milan,21/09/19,Juventus,1-1
Napoli,21/09/20,Udinese,0-4
Genoa,21/09/21,Bologna,2-2
Sassuolo,21/09/21,Atalanta,2-1
Inter,21/09/21,Fiorentina,1-3
Verona,21/09/22,Salernitana,2-2
Juventus,21/09/22,Spezia,2-3
Empoli,21/09/22,Cagliari,0-2
Venezia,21/09/22,AC Milan,2-0
Napoli,21/09/23,Sampdoria,0-4
Lazio,21/09/23,Torino,1-1
Udinese,21/09/23,AS Roma,1-0
AC Milan,21/09/25,Spezia,1-2
Atalanta,21/09/25,Inter,2-2
Verona,21/09/25,Genoa,3-3
Sampdoria,21/09/26,Juventus,3-2
Salernitana,21/09/26,Sassuolo,1-0
Fiorentina,21/09/26,Udinese,0-1
Bologna,21/09/26,Empoli,4-2
AS Roma,21/09/26,Lazio,3-2
Cagliari,21/09/26,Napoli,2-0
Torino,21/09/27,Venezia,1-1
Venezia,21/01/10,Cagliari,1-1
Genoa,21/02/10,Salernitana,1-0
Juventus,21/02/10,Torino,0-1
Inter,21/02/10,Sassuolo,1-2
Lazio,21/03/10,Bologna,3-0
Spezia,21/03/10,Verona,4-0
Udinese,21/03/10,Sampdoria,3-3
Empoli,21/03/10,AS Roma,2-0
Napoli,21/03/10,Fiorentina,1-2
AC Milan,21/03/10,Atalanta,2-3
Salernitana,21/10/16,Spezia,2-1
Inter,21/10/16,Lazio,3-1
Verona,21/10/16,AC Milan,3-2
Sampdoria,21/10/17,Cagliari,3-1
Sassuolo,21/10/17,Genoa,2-2
Bologna,21/10/17,Udinese,1-1
Atalanta,21/10/17,Empoli,1-4
Torino,21/10/17,Napoli,1-0
AS Roma,21/10/17,Juventus,1-0
Fiorentina,21/10/18,Venezia,1-0
Genoa,21/10/22,Torino,3-2
Spezia,21/10/22,Sampdoria,2-1
Empoli,21/10/23,Salernitana,2-4
Venezia,21/10/23,Sassuolo,3-1
AC Milan,21/10/23,Bologna,2-4
Udinese,21/10/24,Atalanta,1-1
Lazio,21/10/24,Verona,4-1
Cagliari,21/10/24,Fiorentina,3-0
Napoli,21/10/24,AS Roma,0-0
Juventus,21/10/24,Inter,1-1
Salernitana,21/10/26,Venezia,1-2
Genoa,21/10/26,Spezia,1-1
Torino,21/10/26,AC Milan,1-0
Atalanta,21/10/27,Sampdoria,1-3
Verona,21/10/27,Udinese,1-1
Sassuolo,21/10/27,Juventus,1-2
AS Roma,21/10/27,Cagliari,1-2
Fiorentina,21/10/27,Lazio,1-0
Inter,21/10/27,Empoli,0-2
Bologna,21/10/28,Napoli,3-0
Lazio,21/10/30,Atalanta,2-2
Juventus,21/10/30,Verona,2-1
Sampdoria,21/10/30,Torino,3-0
Udinese,21/10/31,Inter,2-0
Venezia,21/10/31,Genoa,0-0
Empoli,21/10/31,Sassuolo,1-2
Spezia,21/10/31,Fiorentina,3-0
Napoli,21/10/31,Salernitana,0-1
AC Milan,21/10/31,AS Roma,1-2
Cagliari,21/01/11,Bologna,2-0
Genoa,21/05/11,Empoli,2-2
Torino,21/06/11,Spezia,1-0
Fiorentina,21/06/11,Juventus,1-0
Atalanta,21/06/11,Cagliari,1-2
AS Roma,21/07/11,Venezia,3-2
Bologna,21/07/11,Sampdoria,1-2
Sassuolo,21/07/11,Udinese,3-2
Salernitana,21/07/11,Lazio,3-0
Verona,21/07/11,Napoli,1-1
Inter,21/07/11,AC Milan,1-1
Spezia,21/11/20,Atalanta,5-2
Juventus,21/11/20,Lazio,0-2
AC Milan,21/11/20,Fiorentina,4-3
Cagliari,21/11/21,Sassuolo,2-2
Venezia,21/11/21,Bologna,0-1
Sampdoria,21/11/21,Salernitana,0-2
Napoli,21/11/21,Inter,3-2
AS Roma,21/11/21,Genoa,0-2
Empoli,21/11/22,Verona,2-1
Udinese,21/11/22,Torino,2-1
Salernitana,21/11/26,Cagliari,1-1
Verona,21/11/27,Sampdoria,3-1
Fiorentina,21/11/27,Empoli,2-1
Atalanta,21/11/27,Juventus,0-1
Inter,21/11/27,Venezia,0-2
Genoa,21/11/28,Udinese,0-0
Sassuolo,21/11/28,AC Milan,1-3
Bologna,21/11/28,Spezia,0-1
Torino,21/11/28,AS Roma,1-0
Lazio,21/11/28,Napoli,4-0
Venezia,21/11/30,Atalanta,4-0
Sampdoria,21/11/30,Fiorentina,3-1
Cagliari,21/11/30,Verona,0-0
Juventus,21/11/30,Salernitana,0-2
AS Roma,21/01/12,Bologna,1-0
Spezia,21/01/12,Inter,2-0
AC Milan,21/01/12,Genoa,0-3
Napoli,21/01/12,Sassuolo,2-2
Empoli,21/02/12,Torino,2-2
Udinese,21/02/12,Lazio,4-4
Salernitana,21/04/12,AC Milan,2-0
Inter,21/04/12,AS Roma,0-3
Atalanta,21/04/12,Napoli,2-3
Fiorentina,21/05/12,Bologna,2-3
Verona,21/05/12,Venezia,3-4
Sassuolo,21/05/12,Spezia,2-2
Lazio,21/05/12,Sampdoria,1-3
Genoa,21/05/12,Juventus,2-0
Udinese,21/06/12,Empoli,3-1
Torino,21/06/12,Cagliari,1-1
Sampdoria,21/10/12,Genoa,1-3
Salernitana,21/11/12,Fiorentina,4-0
Juventus,21/11/12,Venezia,1-1
AC Milan,21/11/12,Udinese,1-1
Bologna,21/12/12,Torino,2-1
Atalanta,21/12/12,Verona,1-2
Empoli,21/12/12,Napoli,0-1
Lazio,21/12/12,Sassuolo,2-1
Cagliari,21/12/12,Inter,4-0
Spezia,21/12/13,AS Roma,2-0
Genoa,21/12/17,Lazio,3-1
Inter,21/12/17,Salernitana,0-5
AS Roma,21/12/18,Atalanta,1-4
Juventus,21/12/18,Bologna,0-2
Udinese,21/12/18,Cagliari,0-4
Sassuolo,21/12/19,Fiorentina,2-2
Empoli,21/12/19,Spezia,1-1
Venezia,21/12/19,Sampdoria,1-1
Verona,21/12/19,Torino,1-0
Napoli,21/12/19,AC Milan,0-1
Atalanta,21/12/21,Genoa,0-0
Cagliari,21/12/21,Juventus,2-0
Lazio,21/12/22,Venezia,1-3
Bologna,21/12/22,Sassuolo,0-3
Fiorentina,21/12/22,Verona,1-1
Torino,21/12/22,Inter,1-0
Sampdoria,21/12/22,AS Roma,1-1
Spezia,21/12/22,Napoli,0-1
AC Milan,21/12/22,Empoli,2-4
Salernitana,22/04/20,Udinese,0-1
Cagliari,22/06/01,Sampdoria,1-2
Empoli,22/06/01,Lazio,3-3
Verona,22/06/01,Spezia,1-2
Genoa,22/06/01,Sassuolo,1-1
AS Roma,22/06/01,AC Milan,3-1
Napoli,22/06/01,Juventus,1-1
Udinese,22/04/27,Fiorentina,0-4
Torino,22/04/27,Atalanta,4-4
Inter,22/04/27,Bologna,2-1
Venezia,22/05/05,Salernitana,2-1
AC Milan,22/09/01,Venezia,0-3
Sassuolo,22/09/01,Empoli,1-5
Sampdoria,22/09/01,Napoli,1-0
Atalanta,22/09/01,Udinese,2-6
Spezia,22/09/01,Genoa,0-1
Juventus,22/09/01,AS Roma,3-4
Salernitana,22/09/01,Verona,1-2
Lazio,22/09/01,Inter,2-1
Fiorentina,22/10/01,Torino,4-0
Bologna,22/11/01,Cagliari,2-1
