Away,Date,Half_time,Home,Score
 Udinese,Sa 13 Aug,(2-2),AC Milan ,4 - 2
 Atalanta,Sa 13 Aug,(0-1),Sampdoria ,0 - 2
 Inter Milan,Sa 13 Aug,(0-1),Lecce ,1 - 2
 Torino,Sa 13 Aug,(0-1),Monza ,1 - 2
 Cremonese,Su 14 Aug,(2-1),Fiorentina ,3 - 2
 Bologna,Su 14 Aug,(0-1),Lazio ,2 - 1
 AS Roma,Su 14 Aug,(0-1),Salernitana ,0 - 1
 Empoli,Su 14 Aug,(1-0),Spezia ,1 - 0
 Napoli,Mo 15 Aug,(1-2),Hellas Verona ,2 - 5
 Sassuolo,Mo 15 Aug,(2-0),Juventus ,3 - 0
 Lazio,Sa 20 Aug,(0-0),Torino ,0 - 0
 Salernitana,Sa 20 Aug,(0-0),Udinese ,0 - 0
 Spezia,Sa 20 Aug,(1-0),Inter Milan ,3 - 0
 Lecce,Sa 20 Aug,(1-0),Sassuolo ,1 - 0
 Fiorentina,Su 21 Aug,(0-0),Empoli ,0 - 0
 Monza,Su 21 Aug,(2-0),Napoli ,4 - 0
 AC Milan,Su 21 Aug,(1-0),Atalanta ,1 - 1
 Hellas Verona,Su 21 Aug,(1-1),Bologna ,1 - 1
 Cremonese,Mo 22 Aug,(0-0),AS Roma ,1 - 0
 Juventus,Mo 22 Aug,(0-0),Sampdoria ,0 - 0
 Udinese,Fr 26 Aug,(1-1),Monza ,1 - 2
 Inter Milan,Fr 26 Aug,(1-0),Lazio ,3 - 1
 Torino,Sa 27 Aug,(0-1),Cremonese ,1 - 2
 AS Roma,Sa 27 Aug,(1-0),Juventus ,1 - 1
 Bologna,Sa 27 Aug,(1-0),AC Milan ,2 - 0
 Sassuolo,Sa 27 Aug,(2-1),Spezia ,2 - 2
 Atalanta,Su 28 Aug,(0-0),Hellas Verona ,0 - 1
 Sampdoria,Su 28 Aug,(2-0),Salernitana ,4 - 0
 Napoli,Su 28 Aug,(0-0),Fiorentina ,0 - 0
 Empoli,Su 28 Aug,(1-1),Lecce ,1 - 1
 AC Milan,Tu 30 Aug,(0-0),Sassuolo ,0 - 0
 Monza,Tu 30 Aug,(2-0),AS Roma ,3 - 0
 Cremonese,Tu 30 Aug,(2-0),Inter Milan ,3 - 1
 Hellas Verona,We 31 Aug,(1-0),Empoli ,1 - 1
 Lazio,We 31 Aug,(0-1),Sampdoria ,1 - 1
 Fiorentina,We 31 Aug,(1-0),Udinese ,1 - 0
 Spezia,We 31 Aug,(1-0),Juventus ,2 - 0
 Lecce,We 31 Aug,(1-1),Napoli ,1 - 1
 Torino,Th 1 Sep,(1-0),Atalanta ,3 - 1
 Salernitana,Th 1 Sep,(0-0),Bologna ,1 - 1
 Juventus,Sa 3 Sep,(1-1),Fiorentina ,1 - 1
 Inter Milan,Sa 3 Sep,(1-1),AC Milan ,3 - 2
 Napoli,Sa 3 Sep,(1-1),Lazio ,1 - 2
 Sassuolo,Su 4 Sep,(0-0),Cremonese ,0 - 0
 Bologna,Su 4 Sep,(1-1),Spezia ,2 - 2
 Sampdoria,Su 4 Sep,(2-1),Hellas Verona ,2 - 1
 AS Roma,Su 4 Sep,(1-0),Udinese ,4 - 0
 Atalanta,Mo 5 Sep,(0-0),Monza ,0 - 2
 Empoli,Mo 5 Sep,(1-1),Salernitana ,2 - 2
 Lecce,Mo 5 Sep,(1-0),Torino ,1 - 0
 Spezia,Sa 10 Sep,(0-0),Napoli ,1 - 0
 Torino,Sa 10 Sep,(0-0),Inter Milan ,1 - 0
 AC Milan,Sa 10 Sep,(0-1),Sampdoria ,1 - 2
 Cremonese,Su 11 Sep,(0-0),Atalanta ,1 - 1
 Fiorentina,Su 11 Sep,(0-0),Bologna ,2 - 1
 Monza,Su 11 Sep,(0-1),Lecce ,1 - 1
 Udinese,Su 11 Sep,(1-0),Sassuolo ,1 - 3
 Hellas Verona,Su 11 Sep,(0-0),Lazio ,2 - 0
 Salernitana,Su 11 Sep,(0-2),Juventus ,2 - 2
 AS Roma,Mo 12 Sep,(1-1),Empoli ,1 - 2
