Away,Date,Half_time,Home,Score
 Juventus,Sa 18 Aug,(1-1),Chievo ,2 - 3
 Napoli,Sa 18 Aug,(1-1),Lazio ,1 - 2
 AS Roma,Su 19 Aug,(0-0),Torino ,0 - 1
 SPAL,Su 19 Aug,(0-0),Bologna ,0 - 1
 Cagliari,Su 19 Aug,(1-0),Empoli ,2 - 0
 Udinese,Su 19 Aug,(1-0),Parma ,2 - 2
 Inter Milan,Su 19 Aug,(1-0),Sassuolo ,1 - 0
 Frosinone,Mo 20 Aug,(1-0),Atalanta ,4 - 0
 Lazio,Sa 25 Aug,(1-0),Juventus ,2 - 0
 AC Milan,Sa 25 Aug,(0-1),Napoli ,3 - 2
 Parma,Su 26 Aug,(0-0),SPAL ,1 - 0
 Sassuolo,Su 26 Aug,(1-0),Cagliari ,2 - 2
 Chievo,Su 26 Aug,(2-0),Fiorentina ,6 - 1
 Bologna,Su 26 Aug,(0-0),Frosinone ,0 - 0
 Empoli,Su 26 Aug,(2-0),Genoa ,2 - 1
 Torino,Su 26 Aug,(2-0),Inter Milan ,2 - 2
 Sampdoria,Su 26 Aug,(1-0),Udinese ,1 - 0
 Atalanta,Mo 27 Aug,(1-3),AS Roma ,3 - 3
 AS Roma,Fr 31 Aug,(1-0),AC Milan ,2 - 1
 Inter Milan,Sa 1 Sep,(0-0),Bologna ,0 - 3
 Juventus,Sa 1 Sep,(1-1),Parma ,1 - 2
 Udinese,Su 2 Sep,(0-0),Fiorentina ,1 - 0
 Cagliari,Su 2 Sep,(0-1),Atalanta ,0 - 1
 Empoli,Su 2 Sep,(0-0),Chievo ,0 - 0
 Frosinone,Su 2 Sep,(0-0),Lazio ,1 - 0
 Napoli,Su 2 Sep,(2-0),Sampdoria ,3 - 0
 Genoa,Su 2 Sep,(4-1),Sassuolo ,5 - 3
 SPAL,Su 2 Sep,(0-0),Torino ,1 - 0
 Parma,Sa 15 Sep,(0-0),Inter Milan ,0 - 1
 Fiorentina,Sa 15 Sep,(0-0),Napoli ,1 - 0
 Sampdoria,Sa 15 Sep,(0-1),Frosinone ,0 - 5
 Chievo,Su 16 Sep,(2-0),AS Roma ,2 - 2
 Bologna,Su 16 Sep,(0-0),Genoa ,1 - 0
 Sassuolo,Su 16 Sep,(0-0),Juventus ,2 - 1
 Torino,Su 16 Sep,(1-0),Udinese ,1 - 1
 Lazio,Su 16 Sep,(0-0),Empoli ,0 - 1
 AC Milan,Su 16 Sep,(1-0),Cagliari ,1 - 1
 Atalanta,Mo 17 Sep,(0-0),SPAL ,2 - 0
 Fiorentina,We 19 Sep,(0-1),Sampdoria ,1 - 1
 Empoli,Fr 21 Sep,(1-1),Sassuolo ,3 - 1
 Cagliari,Sa 22 Sep,(1-0),Parma ,2 - 0
 SPAL,Sa 22 Sep,(2-0),Fiorentina ,3 - 0
 Inter Milan,Sa 22 Sep,(0-0),Sampdoria ,0 - 1
 Napoli,Su 23 Sep,(0-2),Torino ,1 - 3
 AS Roma,Su 23 Sep,(1-0),Bologna ,2 - 0
 Udinese,Su 23 Sep,(0-0),Chievo ,0 - 2
 Genoa,Su 23 Sep,(2-0),Lazio ,4 - 1
 Atalanta,Su 23 Sep,(1-0),AC Milan ,2 - 2
 Juventus,Su 23 Sep,(0-0),Frosinone ,0 - 2
 Fiorentina,Tu 25 Sep,(1-0),Inter Milan ,2 - 1
 Lazio,We 26 Sep,(0-0),Udinese ,1 - 2
 Frosinone,We 26 Sep,(3-0),AS Roma ,4 - 0
 Torino,We 26 Sep,(0-0),Atalanta ,0 - 0
 Sampdoria,We 26 Sep,(0-0),Cagliari ,0 - 0
 Chievo,We 26 Sep,(1-0),Genoa ,2 - 0
 Bologna,We 26 Sep,(2-0),Juventus ,2 - 0
 Parma,We 26 Sep,(1-0),Napoli ,3 - 0
 Sassuolo,Th 27 Sep,(0-0),SPAL ,0 - 2
 AC Milan,Th 27 Sep,(0-1),Empoli ,1 - 1
 Lazio,Sa 29 Sep,(1-0),AS Roma ,3 - 1
 Napoli,Sa 29 Sep,(1-1),Juventus ,3 - 1
 Cagliari,Sa 29 Sep,(1-0),Inter Milan ,2 - 0
 Udinese,Su 30 Sep,(1-1),Bologna ,2 - 1
 Torino,Su 30 Sep,(0-0),Chievo ,0 - 1
 Atalanta,Su 30 Sep,(0-0),Fiorentina ,2 - 0
 Genoa,Su 30 Sep,(1-2),Frosinone ,1 - 2
 Empoli,Su 30 Sep,(1-0),Parma ,1 - 0
 AC Milan,Su 30 Sep,(0-1),Sassuolo ,1 - 4
 SPAL,Mo 1 Oct,(1-1),Sampdoria ,2 - 1
 Frosinone,Fr 5 Oct,(1-0),Torino ,3 - 2
 Bologna,Sa 6 Oct,(1-0),Cagliari ,2 - 0
 Juventus,Sa 6 Oct,(0-2),Udinese ,0 - 2
 AS Roma,Sa 6 Oct,(0-1),Empoli ,0 - 2
 Parma,Su 7 Oct,(1-3),Genoa ,1 - 3
 Chievo,Su 7 Oct,(2-0),AC Milan ,3 - 1
 Sampdoria,Su 7 Oct,(0-0),Atalanta ,0 - 1
 Fiorentina,Su 7 Oct,(1-0),Lazio ,1 - 0
 Sassuolo,Su 7 Oct,(1-0),Napoli ,2 - 0
 Inter Milan,Su 7 Oct,(0-1),SPAL ,1 - 2
 SPAL,Sa 20 Oct,(0-1),AS Roma ,0 - 2
 Genoa,Sa 20 Oct,(1-0),Juventus ,1 - 1
