Attendance,Away,Date,Day,Home,Score,Time,Venue,Half_time,year
"32,216",Hellas Verona,2022-09-18,Sun,Fiorentina,2-0,15:00,Stadio Artemio Franchi,(1-0),2022
,Hellas Verona,2020-08-02,Sun,Genoa,3-0,20:45,Stadio Comunale Luigi Ferraris,(3-0),2020
,Hellas Verona,2021-02-20,Sat,Genoa,2-2,18:00,Stadio Comunale Luigi Ferraris,(0-1),2021
"13,478",Hellas Verona,2021-09-25,Sat,Genoa,3-3,20:45,Stadio Comunale Luigi Ferraris,(0-1),2021
"66,202",Hellas Verona,2019-11-09,Sat,Inter Milan,2-1,18:00,Stadio Giuseppe Meazza,(0-1),2019
,Hellas Verona,2021-04-25,Sun,Inter Milan,1-0,15:00,Stadio Giuseppe Meazza,(0-0),2021
"61,325",Hellas Verona,2022-04-09,Sat,Inter Milan,2-0,18:00,Stadio Giuseppe Meazza,(2-0),2022
"39,945",Hellas Verona,2019-09-21,Sat,Juventus,2-1,18:00,Allianz Stadium,(1-1),2019
"1,000",Hellas Verona,2020-10-25,Sun,Juventus,1-1,20:45,Allianz Stadium,(0-0),2020
"17,016",Hellas Verona,2022-02-06,Sun,Juventus,2-0,20:45,Allianz Stadium,(1-0),2022
"40,000",Hellas Verona,2020-02-05,Wed,Lazio,0-0,20:45,Stadio Olimpico,(0-0),2020
,Hellas Verona,2020-12-12,Sat,Lazio,1-2,20:45,Stadio Olimpico,(0-1),2020
"50,000",Hellas Verona,2022-05-21,Sat,Lazio,3-3,20:45,Stadio Olimpico,(2-2),2022
"38,000",Hellas Verona,2022-09-11,Sun,Lazio,2-0,18:00,Stadio Olimpico,(0-0),2022
"24,418",Hellas Verona,2019-09-01,Sun,Lecce,0-1,20:45,Stadio Comunale Via Del Mare,(0-0),2019
"38,686",Hellas Verona,2019-10-19,Sat,Napoli,2-0,18:00,Stadio San Paolo,(1-0),2019
,Hellas Verona,2021-05-23,Sun,Napoli,1-1,20:45,Stadio Diego Armando Maradona,(0-0),2021
"28,000",Hellas Verona,2021-11-07,Sun,Napoli,1-1,18:00,Stadio Diego Armando Maradona,(1-1),2021
"14,638",Hellas Verona,2019-10-29,Tue,Parma,0-1,19:00,Stadio Ennio Tardini,(0-1),2019
"1,000",Hellas Verona,2020-10-04,Sun,Parma,1-0,15:00,Stadio Ennio Tardini,(1-0),2020
"14,078",Hellas Verona,2020-01-05,Sun,SPAL,0-2,15:00,Stadio Paolo Mazza,(0-1),2020
"9,561",Hellas Verona,2021-09-22,Wed,Salernitana,2-2,18:30,Stadio Arechi,(1-2),2021
,Hellas Verona,2020-03-08,Sun,Sampdoria,2-1,15:00,Stadio Comunale Luigi Ferraris,(0-1),2020
,Hellas Verona,2021-04-17,Sat,Sampdoria,3-1,15:00,Stadio Comunale Luigi Ferraris,(0-1),2021
"6,813",Hellas Verona,2021-11-27,Sat,Sampdoria,3-1,15:00,Stadio Comunale Luigi Ferraris,(0-1),2021
,Hellas Verona,2020-06-28,Sun,Sassuolo,3-3,19:30,Mapei Stadium - Città del Tricolore,(0-0),2020
,Hellas Verona,2021-03-13,Sat,Sassuolo,3-2,15:00,Mapei Stadium - Città del Tricolore,(1-1),2021
"3,843",Hellas Verona,2022-01-16,Sun,Sassuolo,2-4,12:30,Mapei Stadium - Città del Tricolore,(0-2),2022
,Hellas Verona,2021-01-03,Sun,Spezia,0-1,15:00,Stadio Dino Manuzzi,(0-0),2021
"3,250",Hellas Verona,2022-01-06,Thu,Spezia,1-2,14:30,Stadio Alberto Picco,(0-0),2022
,Hellas Verona,2020-07-22,Wed,Torino,1-1,21:45,Stadio Olimpico di Torino,(0-0),2020
,Hellas Verona,2021-01-06,Wed,Torino,1-1,15:00,Stadio Olimpico di Torino,(0-0),2021
"6,202",Hellas Verona,2021-12-19,Sun,Torino,1-0,18:00,Stadio Olimpico di Torino,(1-0),2021
"22,308",Hellas Verona,2020-02-16,Sun,Udinese,0-0,12:30,Dacia Arena,(0-0),2020
,Hellas Verona,2021-02-07,Sun,Udinese,2-0,15:00,Dacia Arena,(0-0),2021
"8,751",Hellas Verona,2021-10-27,Wed,Udinese,1-1,18:30,Dacia Arena,(1-0),2021
"7,608",Hellas Verona,2021-12-05,Sun,Venezia,3-4,15:00,Stadio Pierluigi Penzo ,(3-0),2021
"77,749",Inter Milan,2019-03-17,Sun,AC Milan,2-3,20:30,Stadio Giuseppe Meazza,(0-1),2019
"70,440",Inter Milan,2019-09-21,Sat,AC Milan,0-2,20:45,Stadio Giuseppe Meazza,(0-0),2019
,Inter Milan,2021-02-21,Sun,AC Milan,0-3,15:00,Stadio Giuseppe Meazza,(0-1),2021
"56,608",Inter Milan,2021-11-07,Sun,AC Milan,1-1,20:45,Stadio Giuseppe Meazza,(1-1),2021
"75,475",Inter Milan,2022-09-03,Sat,AC Milan,3-2,18:00,Stadio Giuseppe Meazza,(1-1),2022
"41,009",Inter Milan,2018-12-02,Sun,AS Roma,2-2,20:30,Stadio Olimpico,(0-1),2018
,Inter Milan,2020-07-19,Sun,AS Roma,2-2,21:45,Stadio Olimpico,(1-1),2020
,Inter Milan,2021-01-10,Sun,AS Roma,2-2,12:30,Stadio Olimpico,(1-0),2021
"51,185",Inter Milan,2021-12-04,Sat,AS Roma,0-3,18:00,Stadio Olimpico,(0-3),2021
"20,633",Inter Milan,2018-11-11,Sun,Atalanta,4-1,12:30,Stadio Atleti Azzurri d'Italia,(1-0),2018
,Inter Milan,2020-08-01,Sat,Atalanta,0-2,20:45,Stadio Atleti Azzurri d'Italia,(0-2),2020
,Inter Milan,2020-11-08,Sun,Atalanta,1-1,15:00,Stadio Atleti Azzurri d'Italia,(0-0),2020
"5,000",Inter Milan,2022-01-16,Sun,Atalanta,0-0,20:45,Stadio Atleti Azzurri d'Italia,(0-0),2022
"1,000",Inter Milan,2020-09-30,Wed,Benevento,2-5,18:00,Stadio Ciro Vigorito,(1-4),2020
"26,082",Inter Milan,2018-09-01,Sat,Bologna,0-3,18:00,Stadio Renato Dall'Ara,(0-0),2018
"28,498",Inter Milan,2019-11-02,Sat,Bologna,1-2,18:00,Stadio Renato Dall'Ara,(0-0),2019
,Inter Milan,2021-04-03,Sat,Bologna,0-1,20:45,Stadio Renato Dall'Ara,(0-1),2021
"26,034",Inter Milan,2022-04-27,Wed,Bologna,2-1,20:15,Stadio Renato Dall'Ara,(1-1),2022
"16,500",Inter Milan,2019-10-29,Tue,Brescia,1-2,21:00,Stadio Mario Rigamonti,(0-1),2019
"16,223",Inter Milan,2019-03-01,Fri,Cagliari,2-1,20:30,Sardegna Arena,(2-1),2019
"16,412",Inter Milan,2019-09-01,Sun,Cagliari,1-2,20:45,Sardegna Arena,(0-1),2019
,Inter Milan,2020-12-13,Sun,Cagliari,1-3,12:45,Sardegna Arena,(1-0),2020
"15,443",Inter Milan,2022-05-15,Sun,Cagliari,1-3,20:45,Unipol Domus,(0-1),2022
"22,000",Inter Milan,2018-12-22,Sat,Chievo,1-1,18:00,Stadio Marc'Antonio Bentegodi,(0-1),2018
,Inter Milan,2021-05-01,Sat,Crotone,0-2,18:00,Stadio Ezio Scida,(0-0),2021
"10,393",Inter Milan,2018-12-29,Sat,Empoli,0-1,15:00,Stadio Carlo Castellani,(0-0),2018
"9,335",Inter Milan,2021-10-27,Wed,Empoli,0-2,20:45,Stadio Carlo Castellani,(0-1),2021
"32,824",Inter Milan,2019-02-24,Sun,Fiorentina,3-3,20:30,Stadio Artemio Franchi,(1-2),2019
"37,537",Inter Milan,2019-12-15,Sun,Fiorentina,1-1,20:45,Stadio Artemio Franchi,(0-1),2019
,Inter Milan,2021-02-05,Fri,Fiorentina,0-2,20:45,Stadio Artemio Franchi,(0-1),2021
"15,927",Inter Milan,2021-09-21,Tue,Fiorentina,1-3,20:45,Stadio Artemio Franchi,(1-0),2021
"15,856",Inter Milan,2019-04-14,Sun,Frosinone,1-3,20:30,Stadio Benito Stirpe,(0-2),2019
"21,865",Inter Milan,2019-04-03,Wed,Genoa,0-4,21:00,Stadio Comunale Luigi Ferraris,(0-2),2019
,Inter Milan,2020-07-25,Sat,Genoa,0-3,19:30,Stadio Comunale Luigi Ferraris,(0-1),2020
"1,000",Inter Milan,2020-10-24,Sat,Genoa,0-2,18:00,Stadio Comunale Luigi Ferraris,(0-0),2020
"14,314",Inter Milan,2022-02-25,Fri,Genoa,0-0,21:00,Stadio Comunale Luigi Ferraris,(0-0),2022
,Inter Milan,2020-07-09,Thu,Hellas Verona,2-2,21:45,Stadio Marc'Antonio Bentegodi,(1-0),2020
,Inter Milan,2020-12-23,Wed,Hellas Verona,1-2,18:30,Stadio Marc'Antonio Bentegodi,(0-0),2020
"11,214",Inter Milan,2021-08-27,Fri,Hellas Verona,1-3,20:45,Stadio Marc'Antonio Bentegodi,(1-0),2021
"41,495",Inter Milan,2018-12-07,Fri,Juventus,1-0,20:30,Allianz Stadium,(0-0),2018
,Inter Milan,2020-03-08,Sun,Juventus,2-0,20:45,Allianz Stadium,(0-0),2020
,Inter Milan,2021-05-15,Sat,Juventus,3-2,18:00,Allianz Stadium,(2-1),2021
"40,093",Inter Milan,2022-04-03,Sun,Juventus,0-1,20:45,Allianz Stadium,(0-1),2022
"40,068",Inter Milan,2018-10-29,Mon,Lazio,0-3,20:30,Stadio Olimpico,(0-2),2018
"62,500",Inter Milan,2020-02-16,Sun,Lazio,2-1,20:45,Stadio Olimpico,(0-1),2020
"1,000",Inter Milan,2020-10-04,Sun,Lazio,1-1,15:00,Stadio Olimpico,(0-1),2020
"42,000",Inter Milan,2021-10-16,Sat,Lazio,3-1,18:00,Stadio Olimpico,(0-1),2021
"52,500",Inter Milan,2022-08-26,Fri,Lazio,3-1,20:45,Stadio Olimpico,(1-0),2022
"25,966",Inter Milan,2020-01-19,Sun,Lecce,1-1,15:00,Stadio Comunale Via Del Mare,(0-0),2020
"25,353",Inter Milan,2022-08-13,Sat,Lecce,1-2,20:45,Stadio Comunale Via Del Mare,(0-1),2022
"25,445",Inter Milan,2019-05-19,Sun,Napoli,4-1,20:30,Stadio San Paolo,(1-0),2019
"31,191",Inter Milan,2020-01-06,Mon,Napoli,1-3,20:45,Stadio San Paolo,(1-2),2020
,Inter Milan,2021-04-18,Sun,Napoli,1-1,20:45,Stadio Diego Armando Maradona,(1-0),2021
"27,000",Inter Milan,2022-02-12,Sat,Napoli,1-1,18:00,Stadio Diego Armando Maradona,(1-0),2022
"18,155",Inter Milan,2019-02-09,Sat,Parma,0-1,20:30,Stadio Ennio Tardini,(0-0),2019
,Inter Milan,2020-06-28,Sun,Parma,1-2,21:45,Stadio Ennio Tardini,(1-0),2020
,Inter Milan,2021-03-04,Thu,Parma,1-2,20:45,Stadio Ennio Tardini,(0-0),2021
"15,750",Inter Milan,2018-10-07,Sun,SPAL,1-2,20:30,Stadio Paolo Mazza,(0-1),2018
,Inter Milan,2020-07-16,Thu,SPAL,0-4,21:45,Stadio Paolo Mazza,(0-1),2020
"18,000",Inter Milan,2021-12-17,Fri,Salernitana,0-5,20:45,Stadio Arechi,(0-2),2021
"22,835",Inter Milan,2018-09-22,Sat,Sampdoria,0-1,20:30,Stadio Comunale Luigi Ferraris,(0-0),2018
"23,694",Inter Milan,2019-09-28,Sat,Sampdoria,1-3,18:00,Stadio Comunale Luigi Ferraris,(0-2),2019
,Inter Milan,2021-01-06,Wed,Sampdoria,2-1,15:00,Stadio Comunale Luigi Ferraris,(2-0),2021
"7,441",Inter Milan,2021-09-12,Sun,Sampdoria,2-2,12:30,Stadio Comunale Luigi Ferraris,(1-2),2021
"19,104",Inter Milan,2018-08-19,Sun,Sassuolo,1-0,20:30,Stadio Città del Tricolore,(1-0),2018
"17,935",Inter Milan,2019-10-20,Sun,Sassuolo,3-4,12:30,Mapei Stadium - Città del Tricolore,(1-3),2019
,Inter Milan,2020-11-28,Sat,Sassuolo,0-3,15:00,Mapei Stadium - Città del Tricolore,(0-2),2020
"10,400",Inter Milan,2021-10-02,Sat,Sassuolo,1-2,20:45,Mapei Stadium - Città del Tricolore,(1-0),2021
,Inter Milan,2021-04-21,Wed,Spezia,1-1,20:45,Stadio Dino Manuzzi,(1-1),2021
"11,382",Inter Milan,2022-04-15,Fri,Spezia,1-3,19:00,Stadio Alberto Picco,(0-1),2022
"22,002",Inter Milan,2019-01-27,Sun,Torino,1-0,18:00,Stadio Olimpico di Torino,(1-0),2019
"26,059",Inter Milan,2019-11-23,Sat,Torino,0-3,20:45,Stadio Olimpico di Torino,(0-2),2019
,Inter Milan,2021-03-14,Sun,Torino,1-2,15:00,Stadio Olimpico di Torino,(0-0),2021
"15,363",Inter Milan,2022-03-13,Sun,Torino,1-1,20:45,Stadio Olimpico di Torino,(1-0),2022
"24,741",Inter Milan,2019-05-04,Sat,Udinese,0-0,20:30,Dacia Arena,(0-0),2019
"23,215",Inter Milan,2020-02-02,Sun,Udinese,0-2,20:45,Dacia Arena,(0-0),2020
,Inter Milan,2021-01-23,Sat,Udinese,0-0,18:00,Dacia Arena,(0-0),2021
"20,910",Inter Milan,2022-05-01,Sun,Udinese,1-2,18:00,Dacia Arena,(0-2),2022
"22,475",Inter Milan,2022-09-18,Sun,Udinese,3-1,12:30,Dacia Arena,(1-1),2022
"8,303",Inter Milan,2021-11-27,Sat,Venezia,0-2,20:45,Stadio Pierluigi Penzo ,(0-1),2021
"74,729",Juventus,2018-11-11,Sun,AC Milan,0-2,20:30,Stadio Giuseppe Meazza,(0-1),2018
,Juventus,2020-07-07,Tue,AC Milan,4-2,21:45,Stadio Giuseppe Meazza,(0-0),2020
,Juventus,2021-01-06,Wed,AC Milan,1-3,20:45,Stadio Giuseppe Meazza,(1-1),2021
"5,000",Juventus,2022-01-23,Sun,AC Milan,0-0,20:45,Stadio Giuseppe Meazza,(0-0),2022
"50,825",Juventus,2019-05-12,Sun,AS Roma,2-0,20:30,Stadio Olimpico,(0-0),2019
"60,513",Juventus,2020-01-12,Sun,AS Roma,1-2,20:45,Stadio Olimpico,(0-2),2020
"1,000",Juventus,2020-09-27,Sun,AS Roma,2-2,20:45,Stadio Olimpico,(2-1),2020
"33,178",Juventus,2022-01-09,Sun,AS Roma,3-4,18:30,Stadio Olimpico,(1-1),2022
"19,787",Juventus,2018-12-26,Wed,Atalanta,2-2,15:00,Stadio Atleti Azzurri d'Italia,(1-1),2018
"20,899",Juventus,2019-11-23,Sat,Atalanta,1-3,15:00,Stadio Atleti Azzurri d'Italia,(0-0),2019
,Juventus,2021-04-18,Sun,Atalanta,1-0,15:00,Stadio Atleti Azzurri d'Italia,(0-0),2021
"9,731",Juventus,2022-02-13,Sun,Atalanta,1-1,20:45,Stadio Atleti Azzurri d'Italia,(0-0),2022
,Juventus,2020-11-28,Sat,Benevento,1-1,18:00,Stadio Ciro Vigorito,(1-1),2020
"28,934",Juventus,2019-02-24,Sun,Bologna,0-1,15:00,Stadio Renato Dall'Ara,(0-0),2019
,Juventus,2020-06-22,Mon,Bologna,0-2,21:45,Stadio Renato Dall'Ara,(0-2),2020
,Juventus,2021-05-23,Sun,Bologna,1-4,20:45,Stadio Renato Dall'Ara,(0-3),2021
"22,394",Juventus,2021-12-18,Sat,Bologna,0-2,18:00,Stadio Renato Dall'Ara,(0-1),2021
"14,000",Juventus,2019-09-24,Tue,Brescia,1-2,21:00,Stadio Mario Rigamonti,(1-1),2019
"15,958",Juventus,2019-04-02,Tue,Cagliari,0-2,21:00,Sardegna Arena,(0-1),2019
,Juventus,2020-07-29,Wed,Cagliari,2-0,21:45,Sardegna Arena,(2-0),2020
,Juventus,2021-03-14,Sun,Cagliari,1-3,18:00,Sardegna Arena,(0-3),2021
"13,437",Juventus,2022-04-09,Sat,Cagliari,1-2,20:45,Unipol Domus,(1-1),2022
"29,500",Juventus,2018-08-18,Sat,Chievo,2-3,18:00,Stadio Marc'Antonio Bentegodi,(1-1),2018
"1,000",Juventus,2020-10-17,Sat,Crotone,1-1,20:45,Stadio Ezio Scida,(1-1),2020
"15,889",Juventus,2018-10-27,Sat,Empoli,1-2,18:00,Stadio Carlo Castellani,(1-0),2018
"11,890",Juventus,2022-02-26,Sat,Empoli,2-3,18:00,Stadio Carlo Castellani,(1-2),2022
"40,872",Juventus,2018-12-01,Sat,Fiorentina,0-3,18:00,Stadio Artemio Franchi,(0-1),2018
"40,000",Juventus,2019-09-14,Sat,Fiorentina,0-0,15:00,Stadio Artemio Franchi,(0-0),2019
,Juventus,2021-04-25,Sun,Fiorentina,1-1,15:00,Stadio Artemio Franchi,(1-0),2021
"34,831",Juventus,2022-05-21,Sat,Fiorentina,2-0,20:45,Stadio Artemio Franchi,(1-0),2022
"36,550",Juventus,2022-09-03,Sat,Fiorentina,1-1,15:00,Stadio Artemio Franchi,(1-1),2022
"16,000",Juventus,2018-09-23,Sun,Frosinone,0-2,20:30,Stadio Benito Stirpe,(0-0),2018
"30,695",Juventus,2019-03-17,Sun,Genoa,2-0,12:30,Stadio Comunale Luigi Ferraris,(0-0),2019
,Juventus,2020-06-30,Tue,Genoa,1-3,21:45,Stadio Comunale Luigi Ferraris,(0-0),2020
,Juventus,2020-12-13,Sun,Genoa,1-3,18:00,Stadio Comunale Luigi Ferraris,(0-0),2020
"18,762",Juventus,2022-05-06,Fri,Genoa,2-1,21:00,Stadio Comunale Luigi Ferraris,(0-0),2022
"28,654",Juventus,2020-02-08,Sat,Hellas Verona,2-1,20:45,Stadio Marc'Antonio Bentegodi,(0-0),2020
,Juventus,2021-02-27,Sat,Hellas Verona,1-1,20:45,Stadio Marc'Antonio Bentegodi,(0-0),2021
"22,314",Juventus,2021-10-30,Sat,Hellas Verona,2-1,18:00,Stadio Marc'Antonio Bentegodi,(2-0),2021
"73,855",Juventus,2019-04-27,Sat,Inter Milan,1-1,20:30,Stadio Giuseppe Meazza,(1-0),2019
"75,923",Juventus,2019-10-06,Sun,Inter Milan,1-2,20:45,Stadio Giuseppe Meazza,(1-1),2019
,Juventus,2021-01-17,Sun,Inter Milan,2-0,20:45,Stadio Giuseppe Meazza,(1-0),2021
"56,532",Juventus,2021-10-24,Sun,Inter Milan,1-1,20:45,Stadio Giuseppe Meazza,(1-0),2021
"60,687",Juventus,2019-01-27,Sun,Lazio,1-2,20:30,Stadio Olimpico,(0-0),2019
"65,000",Juventus,2019-12-07,Sat,Lazio,3-1,20:45,Stadio Olimpico,(1-1),2019
,Juventus,2020-11-08,Sun,Lazio,1-1,12:30,Stadio Olimpico,(0-1),2020
"45,000",Juventus,2021-11-20,Sat,Lazio,0-2,18:00,Stadio Olimpico,(0-1),2021
"26,591",Juventus,2019-10-26,Sat,Lecce,1-1,15:00,Stadio Comunale Via Del Mare,(0-0),2019
"12,878",Juventus,2022-09-18,Sun,Monza,1-0,15:00,U-Power Stadium,(0-0),2022
"42,667",Juventus,2019-03-03,Sun,Napoli,1-2,20:30,Stadio San Paolo,(0-2),2019
"39,111",Juventus,2020-01-26,Sun,Napoli,2-1,20:45,Stadio San Paolo,(0-0),2020
,Juventus,2021-02-13,Sat,Napoli,1-0,18:00,Stadio Diego Armando Maradona,(1-0),2021
"23,500",Juventus,2021-09-11,Sat,Napoli,2-1,18:00,Stadio Diego Armando Maradona,(0-1),2021
"20,814",Juventus,2018-09-01,Sat,Parma,1-2,20:30,Stadio Ennio Tardini,(1-1),2018
"20,073",Juventus,2019-08-24,Sat,Parma,0-1,18:00,Stadio Ennio Tardini,(0-1),2019
,Juventus,2020-12-19,Sat,Parma,0-4,20:45,Stadio Ennio Tardini,(0-2),2020
"16,000",Juventus,2019-04-13,Sat,SPAL,2-1,15:00,Stadio Paolo Mazza,(0-1),2019
"15,262",Juventus,2020-02-22,Sat,SPAL,1-2,18:00,Stadio Paolo Mazza,(0-1),2020
"19,500",Juventus,2021-11-30,Tue,Salernitana,0-2,20:45,Stadio Arechi,(0-1),2021
"22,856",Juventus,2019-05-26,Sun,Sampdoria,2-0,18:00,Stadio Comunale Luigi Ferraris,(0-0),2019
"23,136",Juventus,2019-12-18,Wed,Sampdoria,1-2,18:55,Stadio Comunale Luigi Ferraris,(1-2),2019
,Juventus,2021-01-30,Sat,Sampdoria,0-2,18:00,Stadio Comunale Luigi Ferraris,(0-1),2021
"16,644",Juventus,2022-03-12,Sat,Sampdoria,1-3,18:00,Stadio Comunale Luigi Ferraris,(0-2),2022
"27,573",Juventus,2022-08-22,Mon,Sampdoria,0-0,20:45,Stadio Comunale Luigi Ferraris,(0-0),2022
"21,584",Juventus,2019-02-10,Sun,Sassuolo,0-3,18:00,Stadio Città del Tricolore,(0-1),2019
,Juventus,2020-07-15,Wed,Sassuolo,3-3,21:45,Mapei Stadium - Città del Tricolore,(1-2),2020
,Juventus,2021-05-12,Wed,Sassuolo,1-3,20:45,Mapei Stadium - Città del Tricolore,(0-2),2021
"20,000",Juventus,2022-04-25,Mon,Sassuolo,1-2,20:45,Mapei Stadium - Città del Tricolore,(1-1),2022
,Juventus,2020-11-01,Sun,Spezia,1-4,15:00,Stadio Dino Manuzzi,(1-1),2020
"5,700",Juventus,2021-09-22,Wed,Spezia,2-3,18:30,Stadio Alberto Picco,(1-1),2021
"26,588",Juventus,2018-12-15,Sat,Torino,0-1,20:30,Stadio Olimpico di Torino,(0-0),2018
"26,664",Juventus,2019-11-02,Sat,Torino,0-1,20:45,Stadio Olimpico di Torino,(0-0),2019
,Juventus,2021-04-03,Sat,Torino,2-2,18:00,Stadio Olimpico di Torino,(1-1),2021
"12,073",Juventus,2021-10-02,Sat,Torino,0-1,18:00,Stadio Olimpico di Torino,(0-0),2021
"25,000",Juventus,2018-10-06,Sat,Udinese,0-2,18:00,Dacia Arena,(0-2),2018
,Juventus,2020-07-23,Thu,Udinese,2-1,19:30,Dacia Arena,(0-1),2020
,Juventus,2021-05-02,Sun,Udinese,1-2,18:00,Dacia Arena,(1-0),2021
"9,660",Juventus,2021-08-22,Sun,Udinese,2-2,18:30,Dacia Arena,(0-2),2021
"8,350",Juventus,2021-12-11,Sat,Venezia,1-1,18:00,Stadio Pierluigi Penzo ,(0-1),2021
"61,216",Lazio,2019-04-13,Sat,AC Milan,1-0,20:30,Stadio Giuseppe Meazza,(0-0),2019
"41,000",Lazio,2019-11-03,Sun,AC Milan,1-2,20:45,Stadio Giuseppe Meazza,(1-1),2019
,Lazio,2020-12-23,Wed,AC Milan,3-2,20:45,Stadio Giuseppe Meazza,(2-1),2020
"36,207",Lazio,2021-09-12,Sun,AC Milan,2-0,18:00,Stadio Giuseppe Meazza,(1-0),2021
"47,600",Lazio,2018-09-29,Sat,AS Roma,3-1,15:00,Stadio Olimpico,(1-0),2018
"59,902",Lazio,2020-01-26,Sun,AS Roma,1-1,18:00,Stadio Olimpico,(1-1),2020
,Lazio,2021-05-15,Sat,AS Roma,2-0,20:45,Stadio Olimpico,(1-0),2021
"51,932",Lazio,2022-03-20,Sun,AS Roma,3-0,18:00,Stadio Olimpico,(3-0),2022
"17,401",Lazio,2018-12-17,Mon,Atalanta,1-0,20:30,Stadio Atleti Azzurri d'Italia,(1-0),2018
,Lazio,2020-06-24,Wed,Atalanta,3-2,21:45,Stadio Atleti Azzurri d'Italia,(1-2),2020
,Lazio,2021-01-31,Sun,Atalanta,1-3,15:00,Stadio Atleti Azzurri d'Italia,(0-1),2021
"11,981",Lazio,2021-10-30,Sat,Atalanta,2-2,15:00,Stadio Atleti Azzurri d'Italia,(1-1),2021
,Lazio,2020-12-15,Tue,Benevento,1-1,20:45,Stadio Ciro Vigorito,(1-1),2020
"19,230",Lazio,2018-12-26,Wed,Bologna,0-2,15:00,Stadio Renato Dall'Ara,(0-1),2018
"22,052",Lazio,2019-10-06,Sun,Bologna,2-2,15:00,Stadio Renato Dall'Ara,(2-2),2019
,Lazio,2021-02-27,Sat,Bologna,2-0,18:00,Stadio Renato Dall'Ara,(1-0),2021
"12,975",Lazio,2021-10-03,Sun,Bologna,3-0,12:30,Stadio Renato Dall'Ara,(2-0),2021
"14,370",Lazio,2020-01-05,Sun,Brescia,1-2,12:30,Stadio Mario Rigamonti,(1-1),2020
"16,179",Lazio,2019-05-11,Sat,Cagliari,1-2,18:00,Sardegna Arena,(0-1),2019
"16,299",Lazio,2019-12-16,Mon,Cagliari,1-2,20:45,Sardegna Arena,(1-0),2019
"1,000",Lazio,2020-09-26,Sat,Cagliari,0-2,18:00,Sardegna Arena,(0-1),2020
"10,873",Lazio,2022-03-05,Sat,Cagliari,0-3,20:45,Unipol Domus,(0-2),2022
"7,000",Lazio,2018-12-02,Sun,Chievo,1-1,18:00,Stadio Marc'Antonio Bentegodi,(1-0),2018
"12,991",Lazio,2022-09-18,Sun,Cremonese,0-4,15:00,Stadio Giovanni Zini,(0-3),2022
,Lazio,2020-11-21,Sat,Crotone,0-2,15:00,Stadio Ezio Scida,(0-1),2020
"10,832",Lazio,2018-09-16,Sun,Empoli,0-1,18:00,Stadio Carlo Castellani,(0-0),2018
"3,655",Lazio,2021-08-21,Sat,Empoli,1-3,20:45,Stadio Carlo Castellani,(1-3),2021
"28,727",Lazio,2019-03-10,Sun,Fiorentina,1-1,20:30,Stadio Artemio Franchi,(0-1),2019
"33,281",Lazio,2019-10-27,Sun,Fiorentina,1-2,20:45,Stadio Artemio Franchi,(1-1),2019
,Lazio,2021-05-08,Sat,Fiorentina,2-0,20:45,Stadio Artemio Franchi,(1-0),2021
"17,181",Lazio,2022-02-05,Sat,Fiorentina,0-3,20:45,Stadio Artemio Franchi,(0-0),2022
"13,221",Lazio,2019-02-04,Mon,Frosinone,0-1,19:00,Stadio Benito Stirpe,(0-1),2019
"19,936",Lazio,2019-02-17,Sun,Genoa,2-1,15:00,Stadio Comunale Luigi Ferraris,(0-1),2019
"25,000",Lazio,2020-02-23,Sun,Genoa,2-3,12:30,Stadio Comunale Luigi Ferraris,(0-1),2020
,Lazio,2021-01-03,Sun,Genoa,1-1,15:00,Stadio Comunale Luigi Ferraris,(0-1),2021
"16,756",Lazio,2022-04-10,Sun,Genoa,1-4,12:30,Stadio Comunale Luigi Ferraris,(0-2),2022
,Lazio,2020-07-26,Sun,Hellas Verona,1-5,19:30,Stadio Marc'Antonio Bentegodi,(1-1),2020
,Lazio,2021-04-11,Sun,Hellas Verona,0-1,15:00,Stadio Marc'Antonio Bentegodi,(0-0),2021
"13,953",Lazio,2021-10-24,Sun,Hellas Verona,4-1,15:00,Stadio Marc'Antonio Bentegodi,(2-0),2021
"56,348",Lazio,2019-03-31,Sun,Inter Milan,0-1,20:30,Stadio Giuseppe Meazza,(0-1),2019
"56,175",Lazio,2019-09-25,Wed,Inter Milan,1-0,21:00,Stadio Giuseppe Meazza,(1-0),2019
,Lazio,2021-02-14,Sun,Inter Milan,3-1,20:45,Stadio Giuseppe Meazza,(2-0),2021
"29,471",Lazio,2022-01-09,Sun,Inter Milan,2-1,20:45,Stadio Giuseppe Meazza,(1-1),2022
"40,171",Lazio,2018-08-25,Sat,Juventus,2-0,18:00,Allianz Stadium,(1-0),2018
,Lazio,2020-07-20,Mon,Juventus,2-1,21:45,Allianz Stadium,(0-0),2020
,Lazio,2021-03-06,Sat,Juventus,3-1,20:45,Allianz Stadium,(1-1),2021
"40,515",Lazio,2022-05-16,Mon,Juventus,2-2,20:45,Allianz Stadium,(2-0),2022
,Lazio,2020-07-07,Tue,Lecce,2-1,19:30,Stadio Comunale Via Del Mare,(1-1),2020
"19,448",Lazio,2019-01-20,Sun,Napoli,2-1,20:30,Stadio San Paolo,(2-0),2019
,Lazio,2020-08-01,Sat,Napoli,3-1,20:45,Stadio San Paolo,(1-1),2020
,Lazio,2021-04-22,Thu,Napoli,5-2,20:45,Stadio Diego Armando Maradona,(2-0),2021
"36,000",Lazio,2021-11-28,Sun,Napoli,4-0,20:45,Stadio Diego Armando Maradona,(3-0),2021
